ISO3Code,Country,EPI_Regions,EPI,env_health,biodiversity,energy,water,air,resource_mgt,GDP_pc_ppp,inc_decile,landlocked,OZONE_pt,PM10_pt,INDOOR_pt,NLOAD_pt,OVRSUB_pt,HARVEST_pt,AGSUB_pt,MORTALITY_pt,ENEFF_pt,CO2GDP_pt,RENPC_pt,OVRFSH_pt,WATSUP_pt,ACSAT_pt,PWI_pt,PACOV_pt,OZONE_RAW,PM10_RAW,INDOOR_RAW,NLOAD_RAW,OVRSUB_RAW,HARVEST_RAW,AGSUB_RAW,MORTALITY_RAW,ENEFF_RAW,CO2GDP_RAW,RENPC_RAW,OVRFSH_RAW,WATSUP_RAW,ACSAT_RAW,PWI_RAW,PACOV_raw
AGO,Angola,Sub-Saharan Africa,39.3,7.8,47.3,74.9,92.0,51.2,88.9,"$2,100",7,0,84.1,18.3,0.0,94.0,90.0,100.0,100.0,0.0,87.4,77.8,9.7,66.7,9.7,14.9,10.6,56.8,21.76,124.80,100.00,318.28,5.50,0.17,0.00,33.56,"4,667.61",254.02,9.68,3.00,50.00,30.00,9.51,0.57
ALB,Albania,Other Eastern Europe and Central Asia,68.9,77.7,22.2,75.6,99.8,14.4,88.9,"$4,900",5,0,28.8,0.0,85.0,99.5,100.0,100.0,100.0,91.0,78.7,80.4,41.0,66.7,94.6,86.6,0.3,0.7,45.30,150.70,15.00,27.13,0.00,0.37,0.00,2.33,"6,751.34",224.52,41.05,3.00,97.00,89.00,0.30,0.01
ARE,United Arab Em.,Middle East and North Africa,73.2,92.7,55.6,34.3,62.1,38.5,77.8,"$25,200",2,0,25.6,51.4,100.0,100.0,24.1,100.0,100.0,99.0,0.0,73.7,0.0,33.3,96.4,100.0,0.0,100.0,46.66,78.29,0.00,0.00,41.55,0.00,0.00,0.25,"30,689.77",300.48,0.00,5.00,98.00,100.00,0.00,1.00
ARG,Argentina,Americas,77.7,86.7,49.8,77.8,71.4,63.1,81.1,"$12,400",3,0,69.6,56.6,100.0,86.9,55.9,100.0,93.1,97.7,81.3,88.7,13.8,50.0,89.2,78.1,10.0,69.4,27.92,70.96,0.00,692.33,24.12,1.07,0.63,0.60,"6,119.85",128.71,13.80,4.00,94.00,82.00,9.03,0.69
ARM,Armenia,Middle East and North Africa,63.8,70.2,55.0,45.2,49.0,37.8,100.0,"$4,600",6,1,28.8,46.7,34.0,98.0,0.0,100.0,100.0,95.1,42.4,55.6,9.7,,85.6,80.5,27.1,75.0,45.27,84.88,66.00,107.62,68.61,0.14,0.00,1.27,"15,417.28",507.50,9.71,,92.00,84.00,24.41,0.75
AUS,Australia,East Asia and the Pacific,80.1,99.0,49.6,68.4,47.3,47.0,94.4,"$30,700",1,0,0.0,93.9,100.0,78.0,16.6,100.0,100.0,98.8,69.4,81.7,3.7,83.3,100.0,100.0,14.0,71.5,60.57,18.58,0.00,"1,159.31",45.69,0.35,-0.83,0.30,"8,960.47",208.95,3.72,2.00,100.00,100.00,12.58,0.72
AUT,Austria,European Union +,85.2,97.7,28.8,82.2,99.4,57.2,95.7,"$31,300",1,1,30.7,83.8,100.0,98.9,100.0,100.0,91.5,99.1,82.5,94.6,24.8,,100.0,100.0,6.1,11.9,44.49,32.74,0.00,60.24,0.00,1.48,0.78,0.24,"5,833.25",61.65,24.82,,100.00,100.00,5.46,0.12
AZE,Azerbaijan,Other Eastern Europe and Central Asia,55.7,59.2,50.1,8.0,70.5,32.7,100.0,"$3,800",6,1,29.0,36.4,63.0,98.3,42.7,100.0,100.0,84.1,17.6,0.0,3.9,,58.5,45.3,11.8,70.8,45.19,99.30,37.00,88.59,31.39,0.01,0.00,4.13,"21,370.79","1,845.85",3.95,,77.00,55.00,10.64,0.71
BDI,Burundi,Sub-Saharan Africa,51.6,30.6,37.2,88.8,96.1,90.9,50.0,$600,10,1,100.0,81.7,0.0,92.2,100.0,0.0,100.0,6.9,100.0,93.9,18.6,,62.1,22.2,19.9,58.6,14.66,35.65,100.00,410.32,0.00,87.23,0.00,24.14,"1,650.30",69.75,18.61,,79.00,36.00,17.92,0.59
BEL,Belgium,European Union +,75.9,96.6,16.7,73.2,53.2,59.0,74.0,"$30,600",1,0,31.0,87.1,100.0,97.5,9.0,100.0,88.6,98.3,70.0,92.3,0.7,33.3,93.6,100.0,0.3,2.0,44.36,28.18,0.00,133.95,49.84,3.00,1.04,0.44,"8,837.85",88.11,0.73,5.00,96.45,100.00,0.30,0.02
