ISO3V10,Country,EPI_regions,GEO_subregion,Population2005,GDP_capita MRYA,landlock,landarea,density,EPI,ENVHEALTH,ECOSYSTEM,ENVHEALTH,AIR_E,WATER_E,BIODIVERSITY,PRODUCTIVE_NATURAL_RESOURCES,CLIMATE,DALY_SC,WATER_H,AIR_H,AIR_E,WATER_E,BIODIVERSITY,FOREST,FISH,AGRICULTURE,CLIMATE,ACSAT_pt,WATSUP_pt,DALY_pt,INDOOR_pt,PM10_pt,OZONE_H_pt,SO2_pt,OZONE_E_pt,WATQI_pt,WATQI_GEMS station data,FORGRO_pt,CRI_pt,EFFCON_pt,AZE_pt,MPAEEZ_pt,EEZTD_pt,MTI_pt,IRRSTR_pt,AGINT_pt,AGSUB_pt,BURNED_pt,PEST_pt,GHGCAP_pt,CO2IND_pt,CO2KWH_pt,ACSAT,WATSUP,DALY,INDOOR,PM10,OZONE_H,SO2,OZONE_E,WATQI,WATQI_GEMS station data,WATSTR,FORGRO,CRI,EFFCON,AZE,MPAEEZ,EEZTD,MTI,IRRSTR,AGINT,AGSUB,BURNED,PEST,GHGCAP,CO2IND,CO2KWH
AGO,Angola,Sub-Saharan Africa,Southern Africa,15941.4,2314.4,0,1251895.62,0.2,39.5,8.9,70.1,8.9,49.2,61.6,58.9,81.3,74.6,0.0,19.8,16.0,49.2,61.6,58.9,95.4,87.3,61.3,74.6,19.3,20.2,0.0,0.0,40.0,0.0,98.4,0.0,29.4,,95.4,99.7,95.7,0.0,14.0,74.5,100.0,97.5,100.0,100.0,0.0,9.1,65.8,95.0,63.0,31.0,53.0,109.0,95.0,91.4,4948.8,0.7,1364330004.5,57.5,,5.5,1.0,0.5,9.6,0.0,1.4,0.0,0.3,2.2,0.0,0.0,15.3,2.0,20.0,1.2,343.0
ALB,Albania,Central and Eastern Europ,Central Europe,3129.7,4955.3,0,28346.12,34.3,84.0,89.3,78.6,89.3,99.1,96.5,4.0,79.4,93.4,99.5,91.3,66.8,99.1,96.5,4.0,100.0,62.5,75.6,93.4,89.5,93.2,99.5,47.4,70.1,99.1,98.5,99.8,93.0,93.0,100.0,5.5,1.6, ,6.0,25.1,100.0,100.0,90.2,100.0,78.9,9.1,98.8,85.0,96.3,91.0,96.0,0.3,50.0,55.5,15.8,0.6,680845.0,95.8,95.8,0.0,1.0,0.0,0.2, ,0.6,0.0,0.7,0.0,0.0,6.2,2.9,2.0,2.9,1.9,34.0
ARE,United Arab Emirates            ,Middle East and North Africa,Arabian Peninsula,4495.8,22698.3,0,74776.6,8.7,64.0,89.8,38.2,89.8,85.1,27.1,36.6,74.1,26.6,98.9,98.8,62.4,85.1,27.1,36.6,100.0,50.0,72.3,26.6,97.7,100.0,98.9,94.7,11.2,100.0,70.2,100.0,0.0,,100.0,100.0,2.3, ,1.0,0.0,100.0,51.8,100.0,100.0,96.1,13.6,38.6,32.1,9.0,98.0,100.0,0.6,5.0,125.6,0.0,12.6,26.3,39.9,,41.6,1.0,0.5,0.2, ,0.1,0.0,1.0,41.0,0.0,0.0,0.5,3.0,34.1,5.5,844.0
ARG,Argentina,Latin America and Caribbe,South America,38747.2,13652.4,0,2736296,1.3,81.8,91.1,72.5,91.1,87.3,74.9,33.6,71.5,82.3,98.0,91.3,76.9,87.3,74.9,33.6,75.9,58.8,79.9,82.3,89.5,93.2,98.0,94.7,51.3,92.4,98.8,75.7,76.4,76.4,75.9,39.8,33.9,40.0,2.0,17.5,100.0,74.6,78.4,100.0,55.7,90.9,87.1,92.7,67.0,91.0,96.0,1.1,5.0,77.9,140.4,0.5,99632701.4,85.8,85.8,24.1,0.9,0.2,3.4,40.0,0.2,0.0,0.8,21.6,0.0,13.7,6.0,20.0,8.9,1.4,306.0
ARM,Armenia,Middle East and North Africa,Eastern Europe,3016.3,5011.0,1,28272.73,30.3,77.8,88.0,67.5,88.0,99.4,28.0,16.0,82.1,87.2,98.2,83.3,72.5,99.4,28.0,16.0,70.1, ,94.2,87.2,80.1,86.4,98.2,72.2,59.0,100.0,98.8,100.0,31.7,,70.1,37.7,10.4,0.0,100.0, , ,97.0,94.5,100.0,79.5,100.0,98.0,78.3,85.1,83.0,92.0,1.0,26.4,68.7,0.0,0.5,0.0,58.9,,68.6,0.9,0.2,1.0,0.0,10.0, , ,2.5,0.0,3.5,2.8,22.0,3.3,2.3,138.0
AUS,Australia,East Asia and the Pacific,Australia + New Zealand,20155.1,30677.9,0,7634643.84,0.3,79.8,99.3,60.4,99.3,84.9,62.5,78.1,91.8,42.5,99.6,100.0,97.9,84.9,62.5,78.1,100.0,96.7,78.7,42.5,100.0,100.0,99.6,94.7,100.0,100.0,69.9,100.0,75.3,75.3,100.0,86.1,79.0,69.4,78.0,93.5,100.0,50.7,79.6,99.9,63.3,100.0,45.4,76.2,5.9,100.0,100.0,0.2,5.0,15.9,0.0,12.7,11575.3,85.2,85.2,45.7,1.0,0.4,7.9,69.4,7.8,0.0,0.1,41.9,0.0,12.9,5.0,22.0,30.5,2.5,873.0
AUT,Austria,Europe,Western Europe,8189.4,30735.8,1,83160.64,16.3,89.4,98.1,80.7,98.1,97.0,79.9,71.6,88.2,79.9,99.8,100.0,92.8,97.0,79.9,71.6,100.0, ,76.4,79.9,100.0,100.0,99.8,94.7,87.8,99.2,94.4,99.6,59.8,59.8,100.0,80.1,63.0, ,100.0, , ,100.0,63.2,22.8,96.0,100.0,81.6,82.3,75.7,100.0,100.0,0.1,5.0,34.5,15.7,2.4,1828480.0,75.9,75.9,0.0,1.1,0.4,6.3, ,10.0, , ,0.0,36.0,23.3,0.5,22.0,11.8,2.1,225.0
AZE,Azerbaijan,Central and Eastern Europ,Eastern Europe,8410.8,5953.4,1,85359.86,14.6,72.2,76.4,67.9,76.4,97.7,48.5,29.0,85.7,77.1,93.0,53.6,66.2,97.7,48.5,29.0,100.0, ,71.4,77.1,46.2,61.0,93.0,48.4,67.0,100.0,95.4,100.0,31.7,,100.0,46.2,11.9, ,100.0, , ,82.9,91.1,100.0,78.4,4.5,88.7,97.1,45.6,54.0,77.0,3.9,49.0,59.2,0.0,1.9,0.0,58.9,,31.4,1.0,0.2,1.2, ,10.0, , ,14.6,0.0,5.6,2.9,1.0,8.1,1.1,505.0
BDI,Burundi,Sub-Saharan Africa,Eastern Africa,7547.5,629.8,1,25226.95,91,54.7,37.6,71.7,37.6,99.5,62.8,62.5,48.0,81.5,26.1,44.7,53.5,99.5,62.8,62.5,0.0, ,95.9,81.5,25.1,64.3,26.1,0.0,84.1,99.4,99.3,99.6,25.6,,0.0,84.1,40.9, ,100.0, , ,100.0,92.0,100.0,87.7,100.0,94.0,100.0,50.5,36.0,79.0,41.0,95.0,38.9,11.6,0.3,1463600.0,55.3,,0.0,0.6,0.4,4.1, ,10.0, , ,0.0,0.0,5.1,1.7,22.0,5.3,0.8,459.0
BEL,Belgium,Europe,Western Europe,10419.1,30004.2,0,30553.27,71.2,78.4,98.8,58.0,98.8,50.2,52.3,10.0,76.1,69.5,99.6,100.0,96.0,50.2,52.3,10.0,100.0,47.4,80.8,69.5,100.0,100.0,99.6,94.7,95.4,99.7,0.6,99.8,59.6,59.6,100.0,9.6,11.5, ,0.0,0.0,94.9,100.0,87.1,22.8,98.6,95.5,77.7,59.7,71.1,100.0,100.0,0.2,5.0,25.4,6.4,41.9,891092.0,75.7,75.7,49.8,1.1,0.0,1.2, ,0.0,0.0,1.0,0.0,36.0,8.2,0.2,21.0,13.8,3.6,268.0
BEN,Benin,Sub-Saharan Africa,Western Africa,8438.9,1015.9,0,115828.16,10.5,56.1,40.2,71.9,40.2,91.6,60.1,86.0,65.8,71.2,40.5,32.8,47.1,91.6,60.1,86.0,17.8,91.5,88.2,71.2,21.6,44.0,40.5,0.4,80.7,73.0,99.4,83.8,20.1,,17.8,98.9,98.7, ,0.0,83.0,100.0,100.0,87.9,100.0,57.9,95.5,93.7,96.3,23.5,33.0,67.0,33.0,94.6,42.9,500.7,0.2,66388500.5,52.0,,0.0,0.8,0.5,9.9, ,0.0,0.0,0.2,0.0,0.0,7.7,5.7,21.0,5.5,1.1,710.0
