code,ISO3V10,Country,Regions,GDPCAP,GDPgroup,Population,Landarea,Landlock,No_forest,No_electricity,No_AZE,EPI,EH,EV,EHEH,EHAIR,EHWATER,EVAIR,EVWATER,EVBH,EVAG,EVFOREST,EVFISH,CLIMATE,CHMORT_pt,INDOOR_pt,PM25_pt,WATSUP_pt,ACSAT_pt,SO2CAP_pt,SO2GDP_pt,WATUSE_pt,PACOV_pt,MPAEEZ_pt,AZE_pt,AGSUB_pt,POPs_pt,FORGRO_pt,FORLOSS_pt,FORCOV_pt,FSOC_pt,TCEEZ_pt,CO2CAP_pt,CO2GDP_pt,CO2KWH_pt,RENEW_pt,CHMORT_mrya,INDOOR_mrya,PM25_mrya,WATSUP_mrya,ACSAT_mrya,SO2CAP_mrya,SO2GDP_mrya,WATUSE_mrya,PACOV_mrya,MPAEEZ_mrya,AZE_mrya,AGSUB_mrya,POPs_mrya,FORGRO_mrya,FORLOSS_mrya,FORCOV_mrya,FSOC_mrya,TCEEZ_mrya,CO2CAP_mrya,CO2GDP_mrya,CO2KWH_mrya,RENEW_mrya,WATSUPINV,ACSATINV,WATUSEINV,FORCOVINV,FORGROINV,CHMORT_tr,INDOOR_tr,PM25_tr,WATSUP_tr,ACSAT_tr,SO2CAP_tr,SO2GDP_tr,WATUSE_tr,MPAEEZ_tr,AGSUB_tr,FORGRO_tr,FORLOSS_tr,FORCOV_tr,FSOC_tr,TCEEZ_tr,CO2CAP_tr,CO2GDP_tr,CO2KWH_tr
533,ABW,Aruba,Americas,22072.50,Upper,107488,183.02,0,1,0,,..,..,..,78.23,..,100.00,..,48.16,0.09,0.00,..,41.16,..,78.23,..,..,100,..,..,..,48.16,0.18,0.00,..,..,0.00,..,..,..,0.00,82.31,..,..,..,..,0.0025,-9999,-9999,100,-8888,-9999,-9999,-0.686,0.03,0.00000000,-7777,-9999,0,-7777,-7777,-9999,1.00,0.000116,-9999,-9999,-9999,-9999,0,..,0.686,..,..,-5.88,..,..,0.00,..,..,..,-0.38,-13.66,..,..,..,..,0.07,-9.06,..,..,..
4,AFG,Afghanistan,Asia & Pacific,879.03,Lower,34385068,643030.37,1,0,0,,..,15.96,..,9.35,35.49,9.64,..,3.12,1.45,0.00,90.14,..,..,9.35,2.18,68.80,9.40,9.89,..,..,3.12,2.18,..,0.00,..,0.00,100.00,70.42,100.00,..,..,..,..,..,..,0.0725,86,16.09,48,37,-9999,-9999,-33.881,0.37,-7777,0.00,-9999,0,1.547,0.06,1.000,-7777,-7777,-9999,-9999,-9999,-9999,52,63,33.881,0.0000,0.0000,-2.62,4.46,2.80,3.97,4.16,..,..,3.52,..,..,-7.80,-2.73,-8.56,..,..,..,..,..
24,AGO,Angola,Sub-Saharan Africa,5454.38,Middle,19081912,1254991.88,0,0,0,,47.57,20.84,59.02,10.27,48.70,14.14,72.23,59.34,41.20,66.67,83.39,30.54,68.90,10.27,8.91,88.49,10.27,18.00,74.56,69.89,59.34,65.59,26.43,0.00,100,0.00,95.73,100.00,54.44,46.15,14.94,100.00,56.33,18.52,76.05,0.0694,54,11.66,50,57,0.97,0.27,-0.260,11.15,0.00470533,0.00,0.0000,0,0.989,0.01,0.989,0.33,0.193227,698.37,0.24,213.33,76.05,50,43,0.260,0.0106,0.0108,-2.66,3.99,3.08,3.93,3.78,0.22,-1.08,-1.34,-5.36,-7.48,-4.49,-4.20,-4.53,-0.90,-1.64,6.59,-1.23,5.37
660,AIA,Anguilla,Americas,11600.98,Middle,14766,83.77,0,1,0,,..,..,..,..,..,..,..,64.02,52.27,66.67,100.00,48.46,..,..,..,..,..,..,..,..,64.02,29.59,52.29,..,100,0.00,..,100.00,100.00,0.00,96.92,..,..,..,..,-9999,-9999,-9999,-8888,-8888,-9999,-9999,-0.173,5.03,0.06949738,-7777,0.0000,0,-8888,0.00,1.000,1.00,0.000023,-9999,-9999,-9999,-9999,..,..,0.173,0.0000,..,..,..,..,..,..,..,..,-1.75,-2.67,-7.48,..,-5.30,-8.56,0.07,-10.67,..,..,..
8,ALB,Albania,Eastern Europe & Central Asia,7667.37,Middle,3204284,29000.15,0,0,0,,65.85,82.19,58.85,78.23,100.00,72.28,57.54,23.19,61.72,66.67,58.34,17.40,85.85,78.23,..,100,68.36,76.20,56.89,58.19,23.19,59.06,76.58,..,100,0.00,42.93,70.42,61.67,11.34,23.47,100.00,68.84,78.95,99.39,0.0025,-9999,7.60,97,98,3.29,0.54,-5.962,10.04,0.87289839,-7777,0.0000,0,0.955,0.06,0.992,0.77,0.075545,854.54,0.15,1.90,99.39,3,2,5.962,0.0077,0.0446,-5.88,..,2.87,1.39,1.10,1.27,-0.49,1.79,-0.14,-7.48,-3.10,-2.73,-4.85,-0.17,-2.58,6.78,-1.61,0.88
20,AND,Andorra,Europe,43519.73,Upper,84864,464.85,1,0,0,,..,..,..,..,100.00,100.00,..,..,33.71,0.00,100.00,..,..,..,100,..,100,100,..,..,..,33.71,..,..,..,0.00,..,100.00,100.00,..,..,..,..,..,..,-9999,0,-9999,100,100,-9999,-9999,-8888,5.73,-7777,-7777,-9999,0,-8888,0.01,1.000,-7777,-7777,-9999,-9999,-9999,-9999,0,0,..,0.0000,..,..,-2.30,..,0.00,0.00,..,..,..,..,..,..,-4.20,-8.56,..,..,..,..,..
530,ANT,Netherlands Antilles,Americas,16200.00,Upper,227049,805.53,0,0,0,,..,..,31.31,80.63,..,..,9.34,42.25,52.99,0.00,91.54,42.41,1.80,80.63,..,..,..,..,4.20,14.47,42.25,84.29,52.61,..,..,0.00,..,74.61,100.00,0.00,84.81,0.00,0.00,11.99,0.00,0.0022,-9999,-9999,-9999,-9999,82.15,5.46,-1.145,14.33,0.07187334,-7777,-9999,0,-8888,0.05,1.000,1.00,0.000088,25099.67,1.72,346.69,0.00,..,..,1.145,0.0000,..,-5.99,..,..,..,..,4.41,1.71,0.14,-2.63,..,..,-2.90,-8.56,0.07,-9.33,10.13,0.57,5.85
784,ARE,United Arab Emirates,Middle East & North Africa,34750.51,Upper,7511690,79534.68,0,1,0,,50.91,87.69,35.15,91.43,82.94,84.98,32.53,10.27,85.72,28.24,100.00,28.67,2.78,91.43,100,65.87,100,69.96,15.24,49.81,10.27,86.94,81.52,..,42.36,0.00,100,..,100,28.56,28.78,0.00,6.27,3.93,0.00,0.0012,0,16.87,100,97,42.41,0.86,-18.245,14.78,1.45866663,-7777,0.0508,0,1.050,-7777,1.016,0.52,0.042102,31972.60,1.26,631.20,0.00,0,3,18.245,0.0000,0.0000,-6.50,-2.30,3.29,0.00,1.39,3.75,-0.07,2.90,0.38,-2.97,-7.80,..,-8.56,-0.53,-3.17,10.37,0.27,6.45
32,ARG,Argentina,Americas,14362.62,Upper,40412376,2786353.16,0,0,0,,56.48,80.75,46.09,82.39,100.00,58.20,61.72,24.58,43.05,92.42,50.51,16.55,44.99,82.39,100,100,68.36,48.04,56.27,67.17,24.58,29.12,59.37,61.92,100,77.27,100.00,27.11,24.41,33.11,0.00,56.47,53.41,14.36,29.18,0.0020,0,4.87,97,90,3.42,0.32,-5.287,4.95,0.14528432,61.92,-0.2283,17,1.605,0.36,0.961,0.46,1.121604,4136.59,0.27,290.74,27.79,3,10,5.287,0.0392,0.0000,-6.07,-2.30,2.70,1.39,2.40,1.31,-0.94,1.67,-1.93,-7.48,-7.80,-1.01,-3.23,-0.63,0.11,8.33,-1.15,5.67
51,ARM,Armenia,Eastern Europe & Central Asia,4838.93,Middle,3092072,29635.92,1,0,0,,47.48,63.81,40.48,76.77,46.03,55.66,34.10,1.09,32.54,65.08,45.13,..,61.56,76.77,19.46,72.60,63.27,48.04,38.64,29.57,1.09,47.12,..,3.38,56.72,81.82,25.71,100.00,9.69,..,..,95.94,52.80,27.69,35.67,0.0027,26,15.12,96,90,10.31,2.52,-40.384,8.01,-7777,3.38,0.0162,18,0.930,0.01,0.926,-7777,-7777,1381.50,0.27,107.68,35.67,4,10,40.384,0.0742,0.0704,-5.81,3.26,3.22,1.61,2.40,2.36,0.95,3.70,..,-4.09,-2.65,-4.20,-2.60,..,..,7.25,-1.13,4.68
16,ASM,American Samoa,Asia & Pacific,7752.80,Middle,68420,205.38,0,1,0,,..,..,..,..,100.00,..,..,89.69,98.47,0.00,100.00,46.89,..,..,100,..,..,..,..,..,89.69,1.29,98.52,..,..,0.00,100.00,..,100.00,19.22,74.57,..,..,..,..,-9999,0,-9999,-9999,-9999,-9999,-9999,-0.018,0.22,8.57455712,-7777,-9999,0,1.000,-7777,1.000,0.64,0.000273,-9999,-9999,-9999,-9999,..,..,0.018,0.0000,0.0000,..,-2.30,..,..,..,..,..,-3.97,2.15,..,-7.80,..,-8.56,-0.34,-8.21,..,..,..
28,ATG,Antigua and Barbuda,Americas,14850.85,Upper,88710,438.15,0,0,0,,..,..,..,..,100.00,54.32,..,60.89,51.25,22.94,86.96,76.26,..,..,100,..,47.45,61.18,..,..,60.89,38.00,51.30,..,34.40,0.00,..,60.89,100.00,100.00,52.53,..,..,..,..,-9999,0,-9999,91,95,-9999,-9999,-0.228,6.46,0.06273925,-7777,0.0951,0,-8888,0.09,1.000,0.00,0.003085,-9999,-9999,-9999,-9999,9,5,0.228,0.0000,..,..,-2.30,..,2.30,1.79,..,..,-1.48,-2.77,-2.35,..,-2.35,-8.56,-2.64,-5.78,..,..,..
36,AUS,Australia,Asia & Pacific,34139.23,Upper,22328800,7716284.08,0,0,0,,56.61,98.99,38.45,97.99,100.00,100.00,10.83,33.21,85.43,34.97,27.19,36.70,13.38,97.99,100,100,100,100,0.00,21.66,33.21,61.24,100,99.90,52.45,0.00,..,20.50,30.54,38.54,34.86,3.35,31.61,0.32,7.31,0.0008,0,1.32,100,100,123.66,3.78,-2.505,10.41,10.11746242,99.90,0.0228,0,-8888,0.47,0.970,0.40,0.021568,17867.10,0.56,825.69,6.25,0,0,2.505,0.0300,..,-6.81,-2.30,2.43,0.00,0.00,4.82,1.35,0.92,2.31,-3.76,..,-0.74,-3.50,-0.74,-3.84,9.79,-0.49,6.72
40,AUT,Austria,Europe,35266.12,Upper,8384745,83879.59,1,0,0,,68.92,98.99,56.03,97.99,100.00,100.00,70.35,45.18,58.00,49.77,79.49,..,46.58,97.99,100,100,100,100,57.21,83.50,45.18,87.00,..,0.00,29.20,90.91,71.64,66.83,100.00,..,..,34.53,56.23,27.73,71.02,0.0008,0,7.65,100,100,3.22,0.10,-0.888,14.79,-7777,0.00,0.1432,20,0.979,0.07,1.006,-7777,-7777,7577.65,0.24,107.37,64.46,0,0,0.888,0.0000,0.0207,-6.81,-2.30,2.87,0.00,0.00,1.25,-1.76,-0.12,..,-1.94,-3.86,-2.59,-8.56,..,..,8.94,-1.23,4.68
