,Code,Country,Landarea_x,EPI_2010,HLT_2010,ECO_2010,BDH_2010,CCH_2010,landarea,EPI_2006,HLT_2006,ECO_2006,BDH_2006,CCH_2006,EPI_2008,HLT_2008,BDH_2008,air,energy,GDP_pc_ppp,Landarea_y,EPI_2012,HLT_2012,ECO_2012,BDH_2012,CCH_2012,EPI_2014,HLT_2014,ECO_2014,BDH_2014,CCH_2014,EPI_2016,HLT_2016,ECO_2016,BDH_2016,CCH_2016,EPI_2018,HLT_2018,ECO_2018,BDH_2018,CCE_2018,EPI_current,HLT_current,ECO_current,BDH_current,CCE_2020,2022,Arrivals
0,ISL,Iceland,91116.36,93.5,95.09,91.87,68.86,90.31,91116.36,87.6,99.3,75.8,62.3,82.3,82.1,98.8,63.7,61.5,68.9,"$31,900",102298.0,66.28,100.00,51.83,70.58,64.98,76.5,98.77,61.65,81.9,71.31,90.51,98.67,82.35,66.04,96.4,78.57,98.41,65.34,75.77,61.96,72.3,98.1,55.0,63.2,60.8,1.107,2343800.0
1,CHE,Switzerland,38975.12,89.1,92.29,85.9,100.0,73.83,38975.12,95.5,98.9,92.1,82.7,94.6,81.4,98.3,28.6,59.6,84.7,"$33,800",41271.84,76.69,93.22,69.61,98.06,58.21,87.67,92.19,84.67,100.0,78.14,86.93,83.78,90.09,90.43,82.53,87.42,93.57,83.32,84.2,90.55,81.5,95.0,72.5,63.0,81.6,1.357,10362000.0
2,CRI,Costa Rica,51014.99,86.4,82.18,90.61,73.4,78.55,51014.99,90.5,93.2,87.7,48.0,98.3,81.6,81.1,80.3,60.6,86.0,"$9,600",51452.02,69.03,76.19,65.96,72.88,79.02,58.53,82.62,42.47,89.55,38.46,80.03,91.15,68.91,90.52,81.52,67.85,76.44,62.13,87.71,59.29,52.5,60.5,47.2,70.1,54.8,1.732,3017000.0
3,SWE,Sweden,431704.25,86.0,92.77,79.32,61.04,70.11,431704.25,93.1,99.4,86.9,58.0,91.6,87.8,99.4,55.6,66.4,78.9,"$28,400",443016.37,68.82,100.00,55.45,52.14,57.85,78.09,99.04,64.12,62.38,77.34,90.43,97.29,83.57,88.76,92.73,80.51,94.41,71.24,81.0,86.8,78.7,98.4,65.6,72.5,77.2,1.564,7440000.0
4,NOR,Norway,318523.72,81.1,90.75,71.52,46.63,65.68,318523.72,93.1,99.3,86.9,61.2,92.7,80.2,98.8,35.9,62.8,76.5,"$40,000",325602.24,69.92,100.00,57.03,63.74,56.30,78.04,99.44,63.77,71.68,75.65,86.9,97.82,75.98,82.2,57.12,77.49,97.86,63.91,88.96,63.58,77.7,98.5,63.8,71.5,78.9,1.465,5688000.0
5,MUS,Mauritius,1993.16,80.6,83.66,77.51,44.96,72.92,1993.16,78.1,97.7,58.5,21.9,53.5,,,,,,,,1993,,,,,58.09,86.55,39.11,43.7,29.91,70.85,94.56,47.13,55.45,,56.63,77.45,42.75,38.28,48.06,45.1,60.0,35.3,19.3,51.0,1.57,1399000.0
6,FRA,France,547106.71,78.2,90.75,65.69,67.43,56.36,547106.71,87.8,99.4,76.2,27.4,85.7,82.5,99.2,50.9,61.5,78.9,"$28,700",549096.13,69.00,98.88,56.20,80.75,44.60,71.05,96.48,54.09,54.45,49.83,88.2,89.97,86.44,99.52,80.12,83.95,95.71,76.11,96.25,70.46,80.0,91.5,72.3,88.3,81.9,1.895,89322000.0
7,AUT,Austria,83160.64,78.1,89.47,66.8,100.0,50.07,83160.64,89.4,98.1,80.7,71.6,79.9,85.2,97.7,28.8,57.2,82.2,"$31,300",83879.59,68.92,98.99,56.03,58.00,46.58,78.32,92.15,69.11,86.59,62.09,86.64,86.41,86.87,93.33,78.76,78.97,86.38,74.03,91.69,62.79,79.6,88.0,74.0,85.5,71.3,1.3,30816000.0
8,CUB,Cuba,111198.91,78.1,84.35,71.91,49.63,66.6,111198.91,80.7,96.4,65.1,28.0,64.5,75.3,85.1,66.0,50.2,55.2,"$3,000",111269.62,56.48,74.37,48.82,57.80,47.20,55.07,80.64,38.02,56.06,16.93,79.04,91.09,66.98,78.51,,63.42,75.76,55.2,74.37,49.15,48.4,50.5,47.0,51.1,64.2,2.083,4684000.0
9,COL,Colombia,1141177.03,76.8,74.6,78.94,82.66,71.32,1141177.03,88.3,91.4,85.2,75.0,87.1,80.4,82.4,60.3,69.4,82.4,"$6,600",1144394.81,62.33,55.55,65.23,84.43,72.75,50.77,66.01,40.62,80.4,43.49,75.93,82.2,69.66,87.99,72.63,65.22,71.05,61.33,81.37,50.1,52.9,55.0,51.6,76.8,55.4,2.729,3904000.0
10,FIN,Finland,317001.35,74.7,90.75,58.74,68.64,46.3,317001.35,91.4,99.3,83.6,78.3,76.8,87.0,98.8,54.3,65.3,75.7,"$29,000",337320.78,64.44,100.00,49.20,52.34,31.55,75.72,99.44,59.9,61.86,62.24,90.68,97.23,84.13,96.93,90.2,78.64,99.35,64.83,89.25,62.33,78.9,99.3,65.3,75.5,77.0,1.439,3224000.0
11,SVK,Slovakia,48874.99,74.5,84.5,64.41,100.0,45.2,48874.99,86.0,99.1,72.9,53.5,71.2,79.1,96.4,45.8,57.4,56.0,"$14,500",48985.49,66.62,94.39,54.72,84.47,36.18,74.45,87.89,65.48,84.33,72.48,85.42,83.77,87.07,100.0,90.78,70.6,63.87,75.08,94.31,74.21,68.3,64.3,70.9,85.0,71.9,1.499,
12,GBR,United Kingdom,247168.89,74.2,89.82,58.66,70.48,51.82,247168.89,86.3,99.4,73.2,47.2,74.6,85.6,98.9,58.8,61.6,77.8,"$29,600",244840.71,68.82,98.07,56.29,100.00,33.46,77.35,98.61,63.18,70.11,54.24,87.38,93.85,80.92,98.98,84.53,79.89,96.03,69.13,96.69,63.06,81.3,91.7,74.3,88.0,90.0,1.667,36316000.0
13,NZL,New Zealand,265334.38,73.4,90.75,55.97,65.73,38.71,265334.38,88.9,99.0,78.8,61.9,71.1,88.0,97.9,73.5,83.7,73.4,"$23,200",269798.3,66.05,95.03,53.62,74.43,44.57,76.41,87.92,68.74,76.05,62.94,88.0,97.81,78.19,92.75,83.69,75.96,95.96,62.63,91.84,55.78,71.3,88.0,60.2,84.0,61.5,1.269,3686000.0
14,CHL,Chile,721229.34,73.3,81.28,65.4,40.94,60.74,721229.34,83.4,93.3,73.6,42.7,78.4,78.9,87.2,68.4,63.7,74.6,"$10,700",757751.37,55.34,84.84,42.70,57.05,46.30,69.93,89.42,56.94,60.16,35.92,77.67,93.23,62.11,75.15,40.29,57.49,73.73,46.66,69.79,37.37,55.3,63.4,49.8,65.3,54.3,1.84,5723000.0
15,DEU,Germany,356026.24,73.2,90.75,55.7,100.0,49.62,356026.24,86.3,99.4,73.3,48.2,76.2,79.4,98.7,21.2,61.3,78.3,"$28,700",357053.7,66.91,98.99,53.16,100.00,30.05,80.47,92.83,72.23,100.0,62.77,84.26,84.66,83.87,100.0,78.19,78.37,88.68,71.5,96.92,55.47,77.2,89.6,68.9,88.8,71.5,1.462,38881000.0
16,ITA,Italy,299286.24,73.1,90.87,55.24,72.37,47.97,299286.24,84.2,98.6,69.8,16.5,74.5,79.8,95.3,48.7,55.2,80.3,"$27,700",300906.2,68.90,100.00,55.57,94.79,38.36,74.36,81.46,69.63,79.77,63.41,84.48,82.83,86.14,98.96,79.35,76.96,85.88,71.02,94.1,65.14,71.0,85.5,61.3,75.6,68.1,1.643,61567200.0
17,PRT,Portugal,91426.39,73.0,87.57,58.4,57.97,49.85,91426.39,85.8,98.4,73.1,33.7,72.9,82.9,97.4,54.6,50.1,79.1,"$17,900",92013.56,57.64,93.05,42.46,66.16,43.23,75.8,98.24,60.84,64.36,80.68,88.63,96.55,80.7,95.78,90.82,71.91,90.47,59.53,91.41,56.89,67.0,83.4,56.1,73.0,63.3,1.301,16186000.0
