,Code,Country,Landarea,EPI,HLT,ECO,BDH,CCH
0,ISL,Iceland,91116.36,93.5,95.09,91.87,68.86,90.31
1,CHE,Switzerland,38975.12,89.1,92.29,85.9,100.0,73.83
2,CRI,Costa Rica,51014.99,86.4,82.18,90.61,73.4,78.55
3,SWE,Sweden,431704.25,86.0,92.77,79.32,61.04,70.11
4,NOR,Norway,318523.72,81.1,90.75,71.52,46.63,65.68
5,MUS,Mauritius,1993.16,80.6,83.66,77.51,44.96,72.92
6,FRA,France,547106.71,78.2,90.75,65.69,67.43,56.36
7,AUT,Austria,83160.64,78.1,89.47,66.8,100.0,50.07
8,CUB,Cuba,111198.91,78.1,84.35,71.91,49.63,66.6
9,COL,Colombia,1141177.03,76.8,74.6,78.94,82.66,71.32
10,MLT,Malta,315.39,76.3,92.12,60.55,75.06,59.01
11,FIN,Finland,317001.35,74.7,90.75,58.74,68.64,46.3
12,SVK,Slovakia,48874.99,74.5,84.5,64.41,100.0,45.2
13,GBR,United Kingdom,247168.89,74.2,89.82,58.66,70.48,51.82
14,NZL,New Zealand,265334.38,73.4,90.75,55.97,65.73,38.71
15,CHL,Chile,721229.34,73.3,81.28,65.4,40.94,60.74
16,DEU,Germany,356026.24,73.2,90.75,55.7,100.0,49.62
17,ITA,Italy,299286.24,73.1,90.87,55.24,72.37,47.97
18,PRT,Portugal,91426.39,73.0,87.57,58.4,57.97,49.85
19,JPN,Japan,371705.29,72.5,90.18,54.9,63.16,48.28
20,LVA,Latvia,64195.65,72.5,75.05,69.98,76.29,55.55
21,CZE,Czech Republic,78600.63,71.6,86.87,56.37,100.0,41.91
22,ALB,Albania,28346.12,71.4,69.93,72.92,77.02,68.97
23,PAN,Panama,74515.22,71.4,71.75,70.99,71.28,58.68
24,ESP,Spain,505283.96,70.6,88.71,52.52,57.22,46.11
25,BLZ,Belize,22290.39,69.9,67.58,72.28,96.81,63.62
26,ATG,Antigua and Barbuda,443.84,69.8,83.21,56.38,27.61,61.88
27,SGP,Singapore,592.54,69.6,89.18,50.09,44.24,48.57
28,SCG,Serbia and Montenegro,101566.18,69.4,83.18,55.56,24.85,55.26
29,ECU,Ecuador,256270.64,69.3,75.77,62.92,82.92,55.43
30,PER,Peru,1288259.27,69.3,61.34,77.21,52.81,70.2
31,DNK,Denmark,42484.49,69.2,89.82,48.49,52.71,46.15
32,HUN,Hungary,92046.39,69.1,82.66,55.57,49.97,51.34
33,SLV,El Salvador,20278.94,69.1,68.89,69.26,18.01,75.73
34,HRV,Croatia,56405.68,68.7,82.47,54.83,67.65,39.88
35,DOM,Dominican Republic,48092.01,68.4,72.51,64.38,86.06,56.58
36,LTU,Lithuania,64995.07,68.3,74.34,62.32,46.53,59.65
37,NPL,Nepal,139103.09,68.2,41.38,95.09,79.58,96.36
38,SUR,Suriname,141113.67,68.2,70.73,65.62,74.31,63.57
39,BTN,Bhutan,38028.67,68.0,56.88,79.16,100.0,71.68
40,LUX,Luxembourg,2587.12,67.8,90.75,44.92,100.0,28.15
41,DZA,Algeria,2302498.08,67.4,67.58,67.25,51.89,66.18
42,MEX,Mexico,1943058.29,67.3,76.63,58.06,51.1,56.42
43,IRL,Ireland,69473.98,67.1,91.73,42.48,7.03,40.36
44,ROU,Romania,237056.1,67.0,72.67,61.34,63.55,50.8
45,CAN,Canada,9458906.77,66.4,92.77,40.1,61.91,37.34
46,NLD,Netherlands,35043.85,66.4,89.33,43.38,80.05,39.19
47,MDV,Maldives,188.69,65.9,64.26,67.62,0.13,75.46
48,FJI,Fiji,18351.66,65.9,60.41,71.42,16.93,60.2
49,PHL,Philippines,295386.88,65.7,65.88,65.49,64.16,64.45
50,AUS,Australia,7634643.84,65.7,91.73,39.58,77.86,27.64
51,MAR,Morocco,403759.34,65.6,73.38,57.84,25.46,56.64
52,BLR,Belarus,207012.55,65.4,74.73,56.01,70.13,51.57
53,MYS,Malaysia,330798.79,65.0,81.31,48.67,74.07,42.33
54,SVN,Slovenia,20223.97,65.0,84.98,44.93,51.14,41.37
55,SYR,Syria,184365.81,64.6,73.67,55.49,8.48,60.96
56,EST,Estonia,43178.85,63.8,76.85,50.76,88.53,36.0
57,LKA,Sri Lanka,65830.04,63.7,45.84,81.59,73.99,79.71
58,GEO,Georgia,69236.14,63.6,72.14,55.15,26.85,54.38
59,PRY,Paraguay,395907.51,63.5,58.07,68.96,53.04,72.48
60,USA,United States of America,9210753.38,63.5,88.3,38.65,65.92,29.37
61,BRA,Brazil,8511043.6,63.4,71.63,55.19,61.31,46.44
62,POL,Poland,311195.23,63.1,75.19,51.03,80.44,45.93
63,VEN,Venezuela,911835.87,62.9,79.13,46.67,78.19,47.24
64,BGR,Bulgaria,111307.14,62.5,73.21,51.85,66.94,39.92
65,ISR,Israel,21878.11,62.4,92.11,32.75,72.76,32.37
66,THA,Thailand,513634.82,62.2,65.58,58.73,79.77,52.97
67,EGY,Egypt,968071.46,62.0,63.04,60.97,59.17,62.12
68,RUS,Russia,16679992.73,61.2,68.59,53.83,80.26,45.28
69,ARG,Argentina,2736296.0,61.0,74.49,47.6,31.25,49.58
70,GRC,Greece,131890.98,60.9,86.6,35.13,35.67,32.34
71,BRN,Brunei Darussalam,5797.99,60.8,86.22,35.28,76.65,25.54
72,MKD,Macedonia,24697.07,60.6,77.85,43.41,40.18,36.53
73,TUN,Tunisia,147881.49,60.6,77.16,44.0,9.99,58.83
74,DJI,Djibouti,20903.5,60.5,51.45,69.64,1.73,75.44
75,ARM,Armenia,28272.73,60.4,71.63,49.26,55.34,49.85
76,TUR,Turkey,768693.62,60.4,74.45,46.34,17.14,53.62
77,IRN,Iran,1590351.27,60.0,70.21,49.72,42.32,52.56
78,KGZ,Kyrgyzstan,185317.14,59.7,65.29,54.06,25.77,56.2
79,LAO,Laos,230230.75,59.6,32.63,86.57,100.0,68.77
80,NAM,Namibia,819961.13,59.3,52.02,66.53,73.57,71.45
81,GUY,Guyana,210632.19,59.2,66.4,52.09,23.16,59.46
82,URY,Uruguay,174047.96,59.1,72.0,46.21,1.85,49.28
83,AZE,Azerbaijan,85359.86,59.1,62.72,55.43,67.57,58.09
84,VNM,Viet Nam,328819.59,59.0,59.89,58.11,41.28,58.22
85,MDA,Moldova,34013.1,58.8,68.77,48.88,12.76,49.34
86,UKR,Ukraine,588417.29,58.2,73.85,42.58,35.72,42.27
87,BEL,Belgium,30553.27,58.1,89.05,27.09,20.2,36.65
88,JAM,Jamaica,11060.19,58.0,70.25,45.83,64.27,37.84
89,LBN,Lebanon,10327.78,57.9,77.33,38.5,3.49,37.98
90,STP,Sao Tome and Principe,1007.95,57.3,43.14,71.54,0.0,76.55
91,KAZ,Kazakhstan,2619353.45,57.3,69.32,45.28,22.7,46.53
92,NIC,Nicaragua,118789.48,57.1,58.73,55.38,59.89,51.13
93,KOR,South Korea,98977.42,57.0,80.15,33.94,34.19,36.69
94,GAB,Gabon,265145.62,56.4,54.03,58.86,77.02,52.86
95,CYP,Cyprus,9273.16,56.3,87.64,24.89,75.18,9.26
96,JOR,Jordan,88361.82,56.1,76.67,35.56,91.35,32.87
97,BIH,Bosnia and Herzegovina,51295.18,55.9,77.13,34.61,2.83,42.65
98,SAU,Saudi Arabia,1942660.31,55.3,66.68,43.96,86.35,40.22
99,ERI,Eritrea,121862.9,54.6,30.54,78.72,36.06,76.82
100,SWZ,Swaziland,17409.73,54.4,38.05,70.74,30.07,77.09
101,CIV,Côte d'Ivoire,320328.85,54.3,26.22,82.28,62.93,76.66
102,TTO,Trinidad and Tobago,5202.12,54.2,70.17,38.33,61.56,26.24
103,GTM,Guatemala,108523.47,54.0,56.38,51.56,48.35,54.99
104,COG,Congo,343234.65,54.0,29.36,78.58,72.46,70.68
105,COD,Dem. Rep. Congo,2313414.38,51.6,11.58,91.69,58.27,92.13
106,MWI,Malawi,94968.41,51.4,27.98,74.91,97.95,76.77
107,KEN,Kenya,579617.08,51.4,32.15,70.62,76.36,66.86
108,GHA,Ghana,231729.96,51.3,32.89,69.78,74.7,64.34
109,MMR,Myanmar,669707.48,51.3,42.63,59.97,33.75,64.94
110,TJK,Tajikistan,130110.95,51.3,52.04,50.53,38.06,59.18
111,MOZ,Mozambique,777123.23,51.2,23.12,79.33,60.11,89.85
112,KWT,Kuwait,17259.47,51.1,83.47,18.78,17.09,35.05
113,SLB,Solomon Islands,28707.41,51.1,54.01,48.19,0.51,55.14
114,ZAF,South Africa,1217643.11,50.8,59.0,42.57,62.39,39.48
115,GMB,Gambia,10837.79,50.3,31.06,69.59,16.49,75.42
116,LBY,Libyan Arab Jamahiriya,1611363.45,50.1,68.09,32.19,2.79,43.47
117,HND,Honduras,112078.1,49.9,58.04,41.7,62.25,47.56
118,UGA,Uganda,207069.18,49.8,27.94,71.6,87.5,78.62
119,MDG,Madagascar,592965.42,49.2,21.57,76.77,31.58,74.65
120,CHN,China,9198093.51,49.0,58.68,39.33,57.22,40.18
121,QAT,Qatar,10973.25,48.9,87.69,10.08,6.17,27.18
122,IND,India,3208099.12,48.3,41.59,55.1,38.65,60.25
123,YEM,Yemen,415203.04,48.3,34.95,61.68,1.61,76.58
124,PAK,Pakistan,785319.81,48.0,42.82,53.11,52.85,67.14
125,TZA,Tanzania,891021.57,47.9,25.91,69.89,80.59,66.83
126,ZWE,Zimbabwe,389053.02,47.8,38.04,57.6,93.75,61.25
127,BFA,Burkina Faso,275747.61,47.3,12.24,82.33,100.0,76.31
128,SDN,Sudan,2492385.4,47.1,23.61,70.58,29.07,72.94
