,Code,Country,EPI,HLT,ECO,BDH,CCH
0,FIN,Finland,90.68,97.23,84.13,96.93,90.2
1,ISL,Iceland,90.51,98.67,82.35,66.04,96.4
2,SWE,Sweden,90.43,97.29,83.57,88.76,92.73
3,DNK,Denmark,89.21,94.29,84.12,97.6,88.67
4,SVN,Slovenia,88.98,88.32,89.65,100.0,82.2
5,ESP,Spain,88.91,94.57,83.24,96.73,81.83
6,PRT,Portugal,88.63,96.55,80.7,95.78,90.82
7,EST,Estonia,88.59,95.26,81.91,100.0,76.58
8,MLT,Malta,88.48,92.83,84.13,93.98,84.79
9,FRA,France,88.2,89.97,86.44,99.52,80.12
10,NZL,New Zealand,88.0,97.81,78.19,92.75,83.69
11,GBR,United Kingdom,87.38,93.85,80.92,98.98,84.53
12,AUS,Australia,87.22,98.71,75.73,87.18,62.81
13,SGP,Singapore,87.04,89.35,84.74,72.26,95.44
14,HRV,Croatia,86.98,86.37,87.59,98.96,85.23
15,CHE,Switzerland,86.93,83.78,90.09,90.43,82.53
16,NOR,Norway,86.9,97.82,75.98,82.2,57.12
17,AUT,Austria,86.64,86.41,86.87,93.33,78.76
18,IRL,Ireland,86.6,95.6,77.61,90.51,91.19
19,LUX,Luxembourg,86.58,88.88,84.29,100.0,74.05
20,GRC,Greece,85.81,89.09,82.54,94.82,69.64
21,LVA,Latvia,85.71,91.0,80.42,97.81,83.19
22,LTU,Lithuania,85.49,89.13,81.86,98.55,85.72
23,SVK,Slovakia,85.42,83.77,87.07,100.0,90.78
24,CAN,Canada,85.06,95.15,74.96,74.5,74.59
25,USA,United States of America,84.72,94.41,75.03,79.35,80.88
26,CZE,Czech Republic,84.67,80.81,88.53,100.0,91.23
27,HUN,Hungary,84.6,81.89,87.3,100.0,91.08
28,ITA,Italy,84.48,82.83,86.14,98.96,79.35
29,DEU,Germany,84.26,84.66,83.87,100.0,78.19
30,AZE,Azerbaijan,83.78,82.96,84.6,75.83,97.94
31,RUS,Russia,83.52,87.06,79.98,73.7,84.42
32,BGR,Bulgaria,83.4,85.18,81.62,88.98,77.03
33,ROU,Romania,83.24,81.19,85.28,95.77,96.18
34,BLR,Belarus,82.3,87.37,77.24,73.06,94.87
35,NLD,Netherlands,82.03,82.85,81.21,90.38,75.43
36,ARM,Armenia,81.6,81.76,81.44,87.43,72.77
37,POL,Poland,81.26,80.54,81.98,99.76,88.91
38,JPN,Japan,80.59,86.59,74.58,93.25,59.22
39,CYP,Cyprus,80.24,88.59,71.9,78.23,89.01
40,BEL,Belgium,80.15,79.1,81.21,100.0,80.59
41,CRI,Costa Rica,80.03,91.15,68.91,90.52,81.52
42,ARG,Argentina,79.84,94.5,65.18,69.72,75.94
43,UKR,Ukraine,79.69,85.74,73.63,65.58,87.45
44,CUB,Cuba,79.04,91.09,66.98,78.51,
45,BRA,Brazil,78.9,87.14,70.67,92.62,56.41
46,MNE,Montenegro,78.89,89.6,68.19,67.72,64.29
47,SRB,Serbia,78.67,83.35,73.98,61.46,83.34
48,ISR,Israel,78.14,79.43,76.85,71.29,82.23
49,MKD,Macedonia,78.02,84.71,71.33,72.3,77.6
50,PAN,Panama,78.0,86.15,69.85,87.93,72.34
51,CHL,Chile,77.67,93.23,62.11,75.15,40.29
52,TUN,Tunisia,77.28,81.1,73.46,61.04,73.94
53,JAM,Jamaica,77.02,86.96,67.09,90.47,
54,MDA,Moldova,76.69,75.3,78.08,53.23,94.82
55,VEN,Venezuela,76.23,81.21,71.24,95.73,70.24
56,COL,Colombia,75.93,82.2,69.66,87.99,72.63
57,DOM,Dominican Republic,75.32,78.91,71.73,93.54,
58,FJI,Fiji,75.29,86.6,63.99,59.23,
59,TWN,Taiwan,74.88,76.62,73.14,76.61,76.82
60,ALB,Albania,74.38,84.74,64.03,54.12,91.01
61,TTO,Trinidad and Tobago,74.34,92.2,56.47,88.51,
62,MYS,Malaysia,74.23,84.21,64.25,90.85,58.95
63,MAR,Morocco,74.18,74.28,74.09,91.1,59.61
64,URY,Uruguay,73.98,95.48,52.48,54.32,59.81
65,PHL,Philippines,73.7,75.14,72.27,86.16,80.98
66,MEX,Mexico,73.59,77.58,69.61,78.66,54.9
67,BLZ,Belize,73.55,83.39,63.71,99.03,
68,KAZ,Kazakhstan,73.29,88.42,58.15,53.45,60.32
69,DMA,Dominica,73.25,86.53,59.98,81.02,
70,KGZ,Kyrgyz Republic,73.13,77.73,68.54,79.8,58.36
71,TJK,Tajikistan,73.05,71.41,74.7,74.2,99.24
72,PER,Peru,72.95,78.39,67.51,84.59,33.92
73,JOR,Jordan,72.24,76.67,67.81,42.94,85.38
74,GUY,Guyana,71.14,83.53,58.76,51.31,
75,BOL,Bolivia,71.09,78.91,63.26,90.06,37.25
76,MUS,Mauritius,70.85,94.56,47.13,55.45,
77,NAM,Namibia,70.84,69.72,71.96,95.74,61.18
78,BWA,Botswana,70.72,72.37,69.07,93.75,75.67
79,KOR,South Korea,70.61,68.85,72.37,69.34,62.39
80,ZAF,South Africa,70.52,76.66,64.38,75.06,54.26
81,PRY,Paraguay,70.36,81.14,59.58,78.94,68.1
82,DZA,Algeria,70.28,76.07,64.5,61.62,43.6
83,TKM,Turkmenistan,70.24,70.44,70.04,49.93,93.27
84,WSM,Samoa,70.2,83.33,57.06,61.86,
85,BHR,Bahrain,70.07,74.03,66.12,56.54,67.71
86,QAT,Qatar,69.94,66.79,73.1,58.37,89.35
87,HND,Honduras,69.64,74.19,65.09,86.89,80.14
88,GTM,Guatemala,69.64,71.78,67.49,78.02,89.59
89,GNQ,Equatorial Guinea,69.59,65.42,73.77,91.8,
90,THA,Thailand,69.54,71.61,67.46,86.08,55.92
91,ARE,United Arab Emirates,69.35,71.43,67.28,89.41,38.49
92,BHS,The Bahamas,69.34,91.85,46.83,74.59,
