,Code,Country,EPI,HLT,ECO,BDH,CCE
0,AFG,Afghanistan,37.74,36.76,38.4,13.44,33.04
1,ALB,Albania,65.46,65.67,65.32,75.37,68.36
2,DZA,Algeria,57.18,80.95,41.34,49.33,26.94
3,AGO,Angola,37.44,33.79,39.88,39.19,48.86
4,ATG,Antigua and Barbuda,59.18,76.53,47.61,88.49,11.26
5,ARG,Argentina,59.3,79.88,45.58,55.64,46.65
6,ARM,Armenia,62.07,56.85,65.56,79.57,49.82
7,AUS,Australia,74.12,97.95,58.23,84.64,48.18
8,AUT,Austria,78.97,86.38,74.03,91.69,62.79
9,AZE,Azerbaijan,62.33,48.55,71.52,63.15,73.44
10,BHS,Bahamas,54.99,73.68,42.52,86.22,18.76
11,BHR,Bahrain,55.15,65.28,48.41,33.26,44.31
12,BGD,Bangladesh,29.56,11.96,41.29,53.58,46.95
13,BRB,Barbados,55.76,84.73,36.45,27.14,34.57
14,BLR,Belarus,64.98,69.55,61.94,65.61,64.73
15,BEL,Belgium,77.38,89.37,69.39,95.7,63.81
16,BLZ,Belize,57.79,65.09,52.93,93.47,45.03
17,BEN,Benin,38.17,36.36,39.37,75.08,34.35
18,BTN,Bhutan,47.22,35.27,55.18,96.3,43.76
19,BOL,Bolivia,55.98,61.64,52.21,88.58,33.49
20,BIH,Bosnia and Herzegovina,41.84,63.87,27.15,26.93,26.8
21,BWA,Botswana,51.7,37.19,61.37,98.31,47.24
22,BRA,Brazil,60.7,67.44,56.21,88.17,33.24
23,BRN,Brunei Darussalam,63.57,96.66,41.52,81.58,27.42
24,BGR,Bulgaria,67.85,69.6,66.68,93.39,56.04
25,BFA,Burkina Faso,42.83,44.22,41.91,85.54,26.24
26,BDI,Burundi,27.43,25.69,28.59,53.67,16.18
27,KHM,Cambodia,43.23,39.81,45.51,80.53,47.63
28,CMR,Cameroon,40.81,39.18,41.9,49.56,58.53
29,CAN,Canada,72.18,97.51,55.29,83.2,39.88
30,CPV,Cabo Verde,56.94,60.9,54.3,20.67,69.56
31,CAF,Central African Republic,36.42,29.16,41.26,89.6,17.55
32,TCD,Chad,45.34,41.36,47.99,72.22,49.62
33,CHL,Chile,57.49,73.73,46.66,69.79,37.37
34,CHN,China,50.74,31.72,63.42,72.57,68.62
35,COL,Colombia,65.22,71.05,61.33,81.37,50.1
36,COM,Comoros,44.24,47.06,42.37,55.8,49.44
37,CRI,Costa Rica,67.85,76.44,62.13,87.71,59.29
38,CIV,CÃƒÂ´te d'Ivoire,45.25,39.55,49.05,83.66,38.57
39,HRV,Croatia,65.45,67.04,64.39,95.25,54.41
40,CUB,Cuba,63.42,75.76,55.2,74.37,49.15
41,CYP,Cyprus,72.6,87.96,62.37,81.66,66.26
42,CZE,Czech Republic,67.68,68.69,67.01,94.96,54.65
43,COD,Dem. Rep. Congo,30.41,19.7,37.56,67.79,34.26
44,DNK,Denmark,81.6,98.2,70.53,94.48,67.56
45,DJI,Djibouti,40.04,52.89,31.47,28.88,46.4
46,DMA,Dominica,59.38,69.45,52.67,79.21,51.78
47,DOM,Dominican Republic,64.71,64.86,64.61,87.06,61.27
48,ECU,Ecuador,57.42,72.58,47.31,84.08,46.8
49,EGY,Egypt,61.21,68.61,56.28,62.39,55.68
50,SLV,El Salvador,53.91,63.99,47.19,69.06,63.47
51,GNQ,Equatorial Guinea,60.4,49.66,67.55,87.76,70.08
52,ERI,Eritrea,39.34,46.12,34.81,27.52,29.57
53,EST,Estonia,64.31,73.24,58.35,92.39,33.62
54,ETH,Ethiopia,44.78,32.8,52.77,78.99,64.18
55,FJI,Fiji,53.09,61.7,47.35,46.45,56.91
56,FIN,Finland,78.64,99.35,64.83,89.25,62.33
57,FRA,France,83.95,95.71,76.11,96.25,70.46
58,GAB,Gabon,45.05,43.04,46.39,86.17,30.71
59,GMB,Gambia,42.42,47.99,38.72,43.12,36.67
60,GEO,Georgia,55.69,57.1,54.75,62.33,48.41
61,DEU,Germany,78.37,88.68,71.5,96.92,55.47
62,GHA,Ghana,49.66,44.42,53.15,77.96,57.59
63,GRC,Greece,73.6,91.03,61.98,90.89,42.17
64,GRD,Grenada,50.93,69.82,38.34,56.78,21.61
65,GTM,Guatemala,52.33,54.97,50.57,65.13,57.46
66,GIN,Guinea,46.62,45.02,47.69,83.29,37.24
67,GNB,Guinea-Bissau,44.67,43.6,45.38,85.77,53.23
68,GUY,Guyana,47.93,61.55,38.86,54.32,34.82
69,HTI,Haiti,33.74,45.24,26.08,14.39,42.53
70,HND,Honduras,51.51,55.95,48.54,84.11,46.02
71,HUN,Hungary,65.01,57.67,69.9,91.7,61.68
72,ISL,Iceland,78.57,98.41,65.34,75.77,61.96
73,IND,India,30.57,9.32,44.74,49.13,44.77
74,IDN,Indonesia,46.92,45.44,47.9,70.4,53.43
75,IRN,Iran,58.16,74.01,47.59,51.89,35.93
76,IRQ,Iraq,43.2,61.46,31.02,28.39,19.73
77,IRL,Ireland,78.77,95.92,67.34,88.63,54.16
78,ISR,Israel,75.01,94.14,62.25,59.33,57.09
79,ITA,Italy,76.96,85.88,71.02,94.1,65.14
80,JAM,Jamaica,58.58,68.48,51.98,83.12,52.26
