,Code,Country,Indicator Name,2018
0,FRA,France,"International tourism, number of arrivals",89322000.0
1,ESP,Spain,"International tourism, number of arrivals",82773000.0
2,USA,United States,"International tourism, number of arrivals",79745920.0
3,CHN,China,"International tourism, number of arrivals",62900000.0
4,ITA,Italy,"International tourism, number of arrivals",61567200.0
5,TUR,Turkey,"International tourism, number of arrivals",45768000.0
6,MEX,Mexico,"International tourism, number of arrivals",41313000.0
7,DEU,Germany,"International tourism, number of arrivals",38881000.0
8,THA,Thailand,"International tourism, number of arrivals",38178000.0
9,GBR,United Kingdom,"International tourism, number of arrivals",36316000.0
10,JPN,Japan,"International tourism, number of arrivals",31192000.0
11,AUT,Austria,"International tourism, number of arrivals",30816000.0
12,GRC,Greece,"International tourism, number of arrivals",30123000.0
13,HKG,"Hong Kong SAR, China","International tourism, number of arrivals",29263000.0
14,MYS,Malaysia,"International tourism, number of arrivals",25832000.0
15,RUS,Russian Federation,"International tourism, number of arrivals",24551000.0
16,ARE,United Arab Emirates,"International tourism, number of arrivals",21286000.0
17,CAN,Canada,"International tourism, number of arrivals",21134000.0
18,POL,Poland,"International tourism, number of arrivals",19622000.0
19,NLD,Netherlands,"International tourism, number of arrivals",18780000.0
20,MAC,"Macao SAR, China","International tourism, number of arrivals",18493000.0
21,HUN,Hungary,"International tourism, number of arrivals",17552000.0
22,IND,India,"International tourism, number of arrivals",17423000.0
23,HRV,Croatia,"International tourism, number of arrivals",16645000.0
24,PRT,Portugal,"International tourism, number of arrivals",16186000.0
25,IDN,Indonesia,"International tourism, number of arrivals",15810000.0
26,VNM,Vietnam,"International tourism, number of arrivals",15498000.0
27,KOR,"Korea, Rep.","International tourism, number of arrivals",15347000.0
28,SAU,Saudi Arabia,"International tourism, number of arrivals",15334000.0
29,SGP,Singapore,"International tourism, number of arrivals",14673000.0
30,UKR,Ukraine,"International tourism, number of arrivals",14104000.0
31,DNK,Denmark,"International tourism, number of arrivals",12749000.0
32,MAR,Morocco,"International tourism, number of arrivals",12289000.0
33,BHR,Bahrain,"International tourism, number of arrivals",12045000.0
34,ROU,Romania,"International tourism, number of arrivals",11720000.0
35,BLR,Belarus,"International tourism, number of arrivals",11501600.0
36,EGY,"Egypt, Arab Rep.","International tourism, number of arrivals",11196000.0
37,IRL,Ireland,"International tourism, number of arrivals",10926000.0
38,CZE,Czech Republic,"International tourism, number of arrivals",10611000.0
39,ZAF,South Africa,"International tourism, number of arrivals",10472000.0
40,CHE,Switzerland,"International tourism, number of arrivals",10362000.0
41,BGR,Bulgaria,"International tourism, number of arrivals",9273000.0
42,AUS,Australia,"International tourism, number of arrivals",9246000.0
43,BEL,Belgium,"International tourism, number of arrivals",9119000.0
44,KAZ,Kazakhstan,"International tourism, number of arrivals",8789000.0
45,KWT,Kuwait,"International tourism, number of arrivals",8508000.0
46,TUN,Tunisia,"International tourism, number of arrivals",8299000.0
47,SWE,Sweden,"International tourism, number of arrivals",7440000.0
48,IRN,"Iran, Islamic Rep.","International tourism, number of arrivals",7295000.0
49,PHL,Philippines,"International tourism, number of arrivals",7168000.0
50,ARG,Argentina,"International tourism, number of arrivals",6942000.0
51,BRA,Brazil,"International tourism, number of arrivals",6621000.0
52,DOM,Dominican Republic,"International tourism, number of arrivals",6569000.0
53,KHM,Cambodia,"International tourism, number of arrivals",6201000.0
54,CHL,Chile,"International tourism, number of arrivals",5723000.0
55,NOR,Norway,"International tourism, number of arrivals",5688000.0
56,UZB,Uzbekistan,"International tourism, number of arrivals",5346000.0
57,ALB,Albania,"International tourism, number of arrivals",5340000.0
58,GEO,Georgia,"International tourism, number of arrivals",4757000.0
59,CUB,Cuba,"International tourism, number of arrivals",4684000.0
60,SVN,Slovenia,"International tourism, number of arrivals",4425000.0
61,PER,Peru,"International tourism, number of arrivals",4419000.0
62,JOR,Jordan,"International tourism, number of arrivals",4150000.0
63,ISR,Israel,"International tourism, number of arrivals",4121000.0
64,CYP,Cyprus,"International tourism, number of arrivals",3939000.0
65,COL,Colombia,"International tourism, number of arrivals",3904000.0
66,LAO,Lao PDR,"International tourism, number of arrivals",3770000.0
67,NZL,New Zealand,"International tourism, number of arrivals",3686000.0
68,MMR,Myanmar,"International tourism, number of arrivals",3551000.0
69,URY,Uruguay,"International tourism, number of arrivals",3469000.0
70,EST,Estonia,"International tourism, number of arrivals",3234000.0
71,FIN,Finland,"International tourism, number of arrivals",3224000.0
72,PRI,Puerto Rico,"International tourism, number of arrivals",3068000.0
73,AND,Andorra,"International tourism, number of arrivals",3042000.0
