,ISO3V10,Country,density,landarea,EPI,ENVHEALTH,ECOSYSTEM,BIODIVERSITY
0,AGO,Angola,0.2,1251895.62,39.5,8.9,70.1,58.9
1,ALB,Albania,34.3,28346.12,84.0,89.3,78.6,4.0
2,ARE,United Arab Emirates            ,8.7,74776.6,64.0,89.8,38.2,36.6
3,ARG,Argentina,1.3,2736296.0,81.8,91.1,72.5,33.6
4,ARM,Armenia,30.3,28272.73,77.8,88.0,67.5,16.0
5,AUS,Australia,0.3,7634643.84,79.8,99.3,60.4,78.1
6,AUT,Austria,16.3,83160.64,89.4,98.1,80.7,71.6
7,AZE,Azerbaijan,14.6,85359.86,72.2,76.4,67.9,29.0
8,BDI,Burundi,91.0,25226.95,54.7,37.6,71.7,62.5
9,BEL,Belgium,71.2,30553.27,78.4,98.8,58.0,10.0
10,BEN,Benin,10.5,115828.16,56.1,40.2,71.9,86.0
11,BFA,Burkina Faso,5.2,275747.61,44.3,16.2,72.5,64.7
12,BGD,Bangladesh,95.0,136248.11,58.0,53.6,62.4,5.5
13,BGR,Bulgaria,14.0,111307.14,78.5,94.7,62.2,21.3
14,BIH,Bosnia and Herzegovina          ,1.1,51295.18,79.7,93.1,66.3,1.2
15,BLR,Belarus,8.4,207012.55,80.5,95.4,65.6,23.3
16,BLZ,Belize,0.0,22290.39,71.7,81.3,62.2,89.2
17,BOL,Bolivia,1.3,1069133.7,64.7,61.2,68.2,78.4
18,BRA,Brazil,2.5,8511043.6,82.7,86.9,78.4,53.9
19,BWA,Botswana,0.3,559515.8,68.7,68.6,68.7,100.0
20,CAF,Central African Republic        ,0.0,622868.42,56.0,35.2,76.9,100.0
21,CAN,Canada,0.4,9458906.77,86.6,98.9,74.4,67.6
22,CHE,Switzerland,39.3,38975.12,95.5,98.9,92.1,82.7
23,CHL,Chile,2.2,721229.34,83.4,93.3,73.6,42.7
24,CHN,China,33.4,9198093.51,65.1,71.4,58.8,56.7
25,CIV,Côte d'Ivoire,6.8,320328.85,65.2,57.4,73.0,63.9
26,CMR,Cameroon,7.0,465765.23,63.8,47.7,79.9,53.4
27,COD,Dem. Rep. Congo,2.7,2313414.38,47.3,12.6,82.0,73.2
28,COG,Congo,2.5,343234.65,69.7,51.0,88.4,93.4
29,COL,Colombia,5.4,1141177.03,88.3,91.4,85.2,75.0
30,CRI,Costa Rica,8.8,51014.99,90.5,93.2,87.7,48.0
31,CUB,Cuba,24.3,111198.91,80.7,96.4,65.1,28.0
32,CYP,Cyprus,13.9,9273.16,79.2,96.8,61.6,29.3
33,CZE,Czech Rep.,30.5,78600.63,76.8,91.6,62.0,38.4
34,DEU,Germany,68.9,356026.24,86.3,99.4,73.3,48.2
35,DJI,Djibouti,4.2,20903.5,50.5,57.2,43.9,0.2
36,DNK,Denmark,26.5,42484.49,84.0,99.3,68.7,13.9
37,DOM,Dominican Rep.,48.2,48092.01,83.0,88.8,77.2,65.7
38,DZA,Algeria,3.5,2302498.08,77.0,82.2,71.8,73.9
39,ECU,Ecuador,7.9,256270.64,84.4,91.7,77.0,79.6
