,code,ISO3V10,Country,EPI_regions,Landarea,PopulationDensity07,EPI,ENVHEALTH,ECOSYSTEM,BIODIVERSITY
0,352,ISL,Iceland,Europe,91116.36,3.41,93.5,95.09,91.87,68.86
1,756,CHE,Switzerland,Europe,38975.12,193.72,89.1,92.29,85.9,100.0
2,188,CRI,Costa Rica,Latin America and Caribbean,51014.99,87.47,86.4,82.18,90.61,73.4
3,752,SWE,Sweden,Europe,431704.25,21.19,86.0,92.77,79.32,61.04
4,578,NOR,Norway,Europe,318523.72,14.78,81.1,90.75,71.52,46.63
5,480,MUS,Mauritius,Sub-Saharan Africa,1993.16,632.51,80.6,83.66,77.51,44.96
6,250,FRA,France,Europe,547106.71,112.79,78.2,90.75,65.69,67.43
7,40,AUT,Austria,Europe,83160.64,99.99,78.1,89.47,66.8,100.0
8,192,CUB,Cuba,Latin America and Caribbean,111198.91,101.23,78.1,84.35,71.91,49.63
9,170,COL,Colombia,Latin America and Caribbean,1141177.03,38.55,76.8,74.6,78.94,82.66
10,470,MLT,Malta,Europe,315.39,1297.43,76.3,92.12,60.55,75.06
11,246,FIN,Finland,Europe,317001.35,16.68,74.7,90.75,58.74,68.64
12,703,SVK,Slovakia,Europe,48874.99,110.43,74.5,84.5,64.41,100.0
13,826,GBR,United Kingdom,Europe,247168.89,246.80,74.2,89.82,58.66,70.48
14,554,NZL,New Zealand,East Asia and the Pacific,265334.38,15.94,73.4,90.75,55.97,65.73
15,152,CHL,Chile,Latin America and Caribbean,721229.34,23.01,73.3,81.28,65.4,40.94
16,276,DEU,Germany,Europe,356026.24,231.07,73.2,90.75,55.7,100.0
17,380,ITA,Italy,Europe,299286.24,198.39,73.1,90.87,55.24,72.37
18,620,PRT,Portugal,Europe,91426.39,116.03,73.0,87.57,58.4,57.97
19,392,JPN,Japan,East Asia and the Pacific,371705.29,343.74,72.5,90.18,54.9,63.16
20,428,LVA,Latvia,Europe,64195.65,35.46,72.5,75.05,69.98,76.29
21,203,CZE,Czech Republic,Europe,78600.63,131.48,71.6,86.87,56.37,100.0
22,8,ALB,Albania,Eastern Europe and Central Asia,28346.12,110.51,71.4,69.93,72.92,77.02
23,591,PAN,Panama,Latin America and Caribbean,74515.22,44.83,71.4,71.75,70.99,71.28
24,724,ESP,Spain,Europe,505283.96,88.82,70.6,88.71,52.52,57.22
25,84,BLZ,Belize,Latin America and Caribbean,22290.39,13.64,69.9,67.58,72.28,96.81
26,28,ATG,Antigua and Barbuda,Latin America and Caribbean,443.84,191.09,69.8,83.21,56.38,27.61
27,702,SGP,Singapore,East Asia and the Pacific,592.54,7743.95,69.6,89.18,50.09,44.24
28,..,SCG,Serbia and Montenegro,Eastern Europe and Central Asia,101566.18,78.79,69.4,83.18,55.56,24.85
29,218,ECU,Ecuador,Latin America and Caribbean,256270.64,52.05,69.3,75.77,62.92,82.92
30,604,PER,Peru,Latin America and Caribbean,1288259.27,22.13,69.3,61.34,77.21,52.81
31,208,DNK,Denmark,Europe,42484.49,128.55,69.2,89.82,48.49,52.71
32,348,HUN,Hungary,Europe,92046.39,109.25,69.1,82.66,55.57,49.97
33,222,SLV,El Salvador,Latin America and Caribbean,20278.94,301.14,69.1,68.89,69.26,18.01
34,191,HRV,Croatia,Eastern Europe and Central Asia,56405.68,78.64,68.7,82.47,54.83,67.65
35,214,DOM,Dominican Republic,Latin America and Caribbean,48092.01,202.23,68.4,72.51,64.38,86.06
36,440,LTU,Lithuania,Europe,64995.07,51.94,68.3,74.34,62.32,46.53
37,524,NPL,Nepal,South Asia,139103.09,202.06,68.2,41.38,95.09,79.58
38,740,SUR,Suriname,Latin America and Caribbean,141113.67,3.62,68.2,70.73,65.62,74.31
39,64,BTN,Bhutan,South Asia,38028.67,17.78,68.0,56.88,79.16,100.0
40,442,LUX,Luxembourg,Europe,2587.12,185.53,67.8,90.75,44.92,100.0
41,12,DZA,Algeria,Middle East and North Africa,2302498.08,14.70,67.4,67.58,67.25,51.89
42,484,MEX,Mexico,Latin America and Caribbean,1943058.29,54.18,67.3,76.63,58.06,51.1
43,372,IRL,Ireland,Europe,69473.98,62.85,67.1,91.73,42.48,7.03
44,642,ROU,Romania,Europe,237056.1,90.89,67.0,72.67,61.34,63.55
45,124,CAN,Canada,North America,9458906.77,3.49,66.4,92.77,40.1,61.91
46,528,NLD,Netherlands,Europe,35043.85,467.45,66.4,89.33,43.38,80.05
47,462,MDV,Maldives,South Asia,188.69,1618.21,65.9,64.26,67.62,0.13
48,242,FJI,Fiji,East Asia and the Pacific,18351.66,45.46,65.9,60.41,71.42,16.93
49,608,PHL,Philippines,East Asia and the Pacific,295386.88,300.35,65.7,65.88,65.49,64.16
50,36,AUS,Australia,East Asia and the Pacific,7634643.84,2.75,65.7,91.73,39.58,77.86
51,504,MAR,Morocco,Middle East and North Africa,403759.34,76.43,65.6,73.38,57.84,25.46
52,112,BLR,Belarus,Eastern Europe and Central Asia,207012.55,46.87,65.4,74.73,56.01,70.13
53,458,MYS,Malaysia,East Asia and the Pacific,330798.79,80.26,65.0,81.31,48.67,74.07
54,705,SVN,Slovenia,Europe,20223.97,99.79,65.0,84.98,44.93,51.14
55,760,SYR,Syria,Middle East and North Africa,184365.81,111.21,64.6,73.67,55.49,8.48
56,233,EST,Estonia,Europe,43178.85,31.07,63.8,76.85,50.76,88.53
57,144,LKA,Sri Lanka,South Asia,65830.04,303.96,63.7,45.84,81.59,73.99
58,268,GEO,Georgia,Eastern Europe and Central Asia,69236.14,63.53,63.6,72.14,55.15,26.85
59,600,PRY,Paraguay,Latin America and Caribbean,395907.51,15.46,63.5,58.07,68.96,53.04
60,840,USA,United States of America,North America,9210753.38,32.71,63.5,88.3,38.65,65.92
61,76,BRA,Brazil,Latin America and Caribbean,8511043.6,22.34,63.4,71.63,55.19,61.31
62,616,POL,Poland,Europe,311195.23,122.50,63.1,75.19,51.03,80.44
63,862,VEN,Venezuela,Latin America and Caribbean,911835.87,30.14,62.9,79.13,46.67,78.19
64,100,BGR,Bulgaria,Europe,111307.14,68.82,62.5,73.21,51.85,66.94
65,376,ISR,Israel,Middle East and North Africa,21878.11,328.19,62.4,92.11,32.75,72.76
66,764,THA,Thailand,East Asia and the Pacific,513634.82,130.40,62.2,65.58,58.73,79.77
67,818,EGY,Egypt,Middle East and North Africa,968071.46,82.70,62.0,63.04,60.97,59.17
68,643,RUS,Russia,Eastern Europe and Central Asia,16679992.73,8.52,61.2,68.59,53.83,80.26
69,32,ARG,Argentina,Latin America and Caribbean,2736296.0,14.44,61.0,74.49,47.6,31.25
70,300,GRC,Greece,Europe,131890.98,84.87,60.9,86.6,35.13,35.67
71,96,BRN,Brunei Darussalam,East Asia and the Pacific,5797.99,67.14,60.8,86.22,35.28,76.65
72,807,MKD,Macedonia,Eastern Europe and Central Asia,24697.07,82.48,60.6,77.85,43.41,40.18
73,788,TUN,Tunisia,Middle East and North Africa,147881.49,69.15,60.6,77.16,44.0,9.99
74,262,DJI,Djibouti,Sub-Saharan Africa,20903.5,39.85,60.5,51.45,69.64,1.73
75,51,ARM,Armenia,Eastern Europe and Central Asia,28272.73,108.67,60.4,71.63,49.26,55.34
76,792,TUR,Turkey,Eastern Europe and Central Asia,768693.62,94.97,60.4,74.45,46.34,17.14
77,364,IRN,Iran,Middle East and North Africa,1590351.27,44.66,60.0,70.21,49.72,42.32
78,417,KGZ,Kyrgyzstan,Eastern Europe and Central Asia,185317.14,28.25,59.7,65.29,54.06,25.77
79,418,LAO,Laos,East Asia and the Pacific,230230.75,26.46,59.6,32.63,86.57,100.0
80,516,NAM,Namibia,Sub-Saharan Africa,819961.13,2.54,59.3,52.02,66.53,73.57
81,328,GUY,Guyana,Latin America and Caribbean,210632.19,3.63,59.2,66.4,52.09,23.16
82,858,URY,Uruguay,Latin America and Caribbean,174047.96,19.10,59.1,72.0,46.21,1.85
83,31,AZE,Azerbaijan,Eastern Europe and Central Asia,85359.86,100.53,59.1,62.72,55.43,67.57
84,704,VNM,Viet Nam,East Asia and the Pacific,328819.59,258.97,59.0,59.89,58.11,41.28
85,498,MDA,Moldova,Eastern Europe and Central Asia,34013.1,107.83,58.8,68.77,48.88,12.76
86,804,UKR,Ukraine,Eastern Europe and Central Asia,588417.29,79.04,58.2,73.85,42.58,35.72
87,56,BEL,Belgium,Europe,30553.27,347.78,58.1,89.05,27.09,20.2
88,388,JAM,Jamaica,Latin America and Caribbean,11060.19,241.93,58.0,70.25,45.83,64.27
89,422,LBN,Lebanon,Middle East and North Africa,10327.78,396.70,57.9,77.33,38.5,3.49
90,678,STP,Sao Tome and Principe,Sub-Saharan Africa,1007.95,156.77,57.3,43.14,71.54,0.0
91,398,KAZ,Kazakhstan,Eastern Europe and Central Asia,2619353.45,5.91,57.3,69.32,45.28,22.7
92,558,NIC,Nicaragua,Latin America and Caribbean,118789.48,47.18,57.1,58.73,55.38,59.89
93,410,KOR,South Korea,East Asia and the Pacific,98977.42,489.57,57.0,80.15,33.94,34.19
94,266,GAB,Gabon,Sub-Saharan Africa,265145.62,5.36,56.4,54.03,58.86,77.02
95,196,CYP,Cyprus,Europe,9273.16,92.17,56.3,87.64,24.89,75.18
96,400,JOR,Jordan,Middle East and North Africa,88361.82,64.72,56.1,76.67,35.56,91.35
97,70,BIH,Bosnia and Herzegovina,Eastern Europe and Central Asia,51295.18,73.66,55.9,77.13,34.61,2.83
98,682,SAU,Saudi Arabia,Middle East and North Africa,1942660.31,12.44,55.3,66.68,43.96,86.35
99,232,ERI,Eritrea,Sub-Saharan Africa,121862.9,39.73,54.6,30.54,78.72,36.06
100,748,SWZ,Swaziland,Sub-Saharan Africa,17409.73,66.14,54.4,38.05,70.74,30.07
101,384,CIV,Côte d'Ivoire,Sub-Saharan Africa,320328.85,62.82,54.3,26.22,82.28,62.93
102,780,TTO,Trinidad and Tobago,Latin America and Caribbean,5202.12,256.25,54.2,70.17,38.33,61.56
103,320,GTM,Guatemala,Latin America and Caribbean,108523.47,123.00,54.0,56.38,51.56,48.35
104,178,COG,Congo,Sub-Saharan Africa,343234.65,10.35,54.0,29.36,78.58,72.46
105,180,COD,Dem. Rep. Congo,Sub-Saharan Africa,2313414.38,26.97,51.6,11.58,91.69,58.27
106,454,MWI,Malawi,Sub-Saharan Africa,94968.41,146.58,51.4,27.98,74.91,97.95
107,404,KEN,Kenya,Sub-Saharan Africa,579617.08,64.75,51.4,32.15,70.62,76.36
108,288,GHA,Ghana,Sub-Saharan Africa,231729.96,98.70,51.3,32.89,69.78,74.7
109,104,MMR,Myanmar,East Asia and the Pacific,669707.48,72.84,51.3,42.63,59.97,33.75
110,762,TJK,Tajikistan,Eastern Europe and Central Asia,130110.95,51.70,51.3,52.04,50.53,38.06
111,508,MOZ,Mozambique,Sub-Saharan Africa,777123.23,27.50,51.2,23.12,79.33,60.11
112,414,KWT,Kuwait,Middle East and North Africa,17259.47,154.29,51.1,83.47,18.78,17.09
113,90,SLB,Solomon Islands,East Asia and the Pacific,28707.41,17.26,51.1,54.01,48.19,0.51
114,710,ZAF,South Africa,Sub-Saharan Africa,1217643.11,39.30,50.8,59.0,42.57,62.39
115,270,GMB,Gambia,Sub-Saharan Africa,10837.79,149.06,50.3,31.06,69.59,16.49
116,434,LBY,Libyan Arab Jamahiriya,Middle East and North Africa,1611363.45,3.82,50.1,68.09,32.19,2.79
117,340,HND,Honduras,Latin America and Caribbean,112078.1,63.38,49.9,58.04,41.7,62.25
118,800,UGA,Uganda,Sub-Saharan Africa,207069.18,147.96,49.8,27.94,71.6,87.5
119,450,MDG,Madagascar,Sub-Saharan Africa,592965.42,31.38,49.2,21.57,76.77,31.58
120,156,CHN,China,East Asia and the Pacific,9198093.51,143.32,49.0,58.68,39.33,57.22
121,634,QAT,Qatar,Middle East and North Africa,10973.25,103.67,48.9,87.69,10.08,6.17
122,356,IND,India,South Asia,3208099.12,350.61,48.3,41.59,55.1,38.65
123,887,YEM,Yemen,Middle East and North Africa,415203.04,53.91,48.3,34.95,61.68,1.61
124,586,PAK,Pakistan,South Asia,785319.81,206.90,48.0,42.82,53.11,52.85
125,834,TZA,Tanzania,Sub-Saharan Africa,891021.57,46.32,47.9,25.91,69.89,80.59
126,716,ZWE,Zimbabwe,Sub-Saharan Africa,389053.02,32.00,47.8,38.04,57.6,93.75
127,854,BFA,Burkina Faso,Sub-Saharan Africa,275747.61,53.59,47.3,12.24,82.33,100.0
128,736,SDN,Sudan,Middle East and North Africa,2492385.4,16.22,47.1,23.61,70.58,29.07
129,894,ZMB,Zambia,Sub-Saharan Africa,745317.51,16.52,47.0,24.21,69.8,100.0
130,512,OMN,Oman,Middle East and North Africa,304189.58,8.96,45.9,71.28,20.47,47.09
131,624,GNB,Guinea-Bissau,Sub-Saharan Africa,34105.82,45.18,44.7,12.62,76.72,75.02
132,120,CMR,Cameroon,Sub-Saharan Africa,465765.23,39.79,44.6,27.43,61.82,70.01
133,360,IDN,Indonesia,East Asia and the Pacific,1897811.61,118.89,44.6,44.59,44.64,63.19
134,646,RWA,Rwanda,Sub-Saharan Africa,24348.89,388.29,44.6,20.33,68.89,85.03
135,324,GIN,Guinea,Sub-Saharan Africa,245860.06,39.11,44.4,19.59,69.15,46.31
136,68,BOL,Bolivia,Latin America and Caribbean,1069133.7,8.90,44.3,45.4,43.27,85.71
137,598,PNG,Papua New Guinea,East Asia and the Pacific,465004.05,13.60,44.3,35.1,53.49,15.63
138,50,BGD,Bangladesh,South Asia,136248.11,1157.83,44.0,32.33,55.57,14.92
139,108,BDI,Burundi,Sub-Saharan Africa,25226.95,310.70,43.9,22.56,65.25,51.5
140,231,ETH,Ethiopia,Sub-Saharan Africa,1123716.57,69.99,43.1,11.04,75.24,93.7
141,496,MNG,Mongolia,East Asia and the Pacific,1546296.94,1.69,42.8,42.73,42.86,80.73
142,686,SEN,Senegal,Sub-Saharan Africa,196150.99,60.63,42.3,27.23,57.32,78.1
143,860,UZB,Uzbekistan,Eastern Europe and Central Asia,412711.17,65.10,42.3,64.12,20.42,21.75
144,48,BHR,Bahrain,Middle East and North Africa,637.88,1180.14,42.0,83.69,0.23,13.61
145,226,GNQ,Equatorial Guinea,Sub-Saharan Africa,27104.52,23.69,41.9,35.04,48.77,77.06
146,408,PRK,North Korea,East Asia and the Pacific,122439.95,194.24,41.8,54.08,29.54,16.23
147,116,KHM,Cambodia,East Asia and the Pacific,179559.26,80.45,41.7,28.81,54.57,81.73
148,72,BWA,Botswana,Sub-Saharan Africa,559515.8,3.36,41.3,43.28,39.34,100.0
149,368,IRQ,Iraq,Middle East and North Africa,426753.71,..,41.0,39.57,42.42,0.0
150,148,TCD,Chad,Sub-Saharan Africa,1243139.16,8.66,40.8,6.13,75.56,73.51
151,784,ARE,United Arab Emirates,Middle East and North Africa,74776.6,58.37,40.7,81.29,0.06,1.17
152,566,NGA,Nigeria,Sub-Saharan Africa,904234.85,163.66,40.2,17.64,62.74,74.67
153,204,BEN,Benin,Sub-Saharan Africa,115828.16,72.46,39.6,22.94,56.24,74.2
154,332,HTI,Haiti,Latin America and Caribbean,27229.68,352.98,39.5,28.06,50.93,3.14
155,466,MLI,Mali,Sub-Saharan Africa,1248145.58,9.88,39.4,9.34,69.51,24.32
156,795,TKM,Turkmenistan,Eastern Europe and Central Asia,460254.24,10.78,38.4,51.24,25.55,30.36
157,562,NER,Niger,Sub-Saharan Africa,1157232.49,12.27,37.6,0.06,75.08,68.89
158,768,TGO,Togo,Sub-Saharan Africa,57276.95,110.00,36.4,23.15,49.71,75.85
159,24,AGO,Angola,Sub-Saharan Africa,1251895.62,14.02,36.3,18.29,54.4,58.43
160,478,MRT,Mauritania,Sub-Saharan Africa,1036904.89,3.01,33.7,25.97,41.36,20.85
161,140,CAF,Central African Republic,Sub-Saharan Africa,622868.42,6.97,33.3,22.31,44.37,100.0
