,Code,Country,Landarea,EPI,HLT,ECO,BDH,CCH
2,AGO,Angola,1254991.88,47.57,20.84,59.02,41.20,68.90
4,ALB,Albania,29000.15,65.85,82.19,58.85,61.72,85.85
7,ARE,United Arab Emirates,79534.68,50.91,87.69,35.15,85.72,2.78
8,ARG,Argentina,2786353.16,56.48,80.75,46.09,43.05,44.99
9,ARM,Armenia,29635.92,47.48,63.81,40.48,32.54,61.56
12,AUS,Australia,7716284.08,56.61,98.99,38.45,85.43,13.38
13,AUT,Austria,83879.59,68.92,98.99,56.03,58.00,46.58
14,AZE,Azerbaijan,85712.58,43.11,51.43,39.55,40.18,44.33
16,BEL,Belgium,30577.47,63.02,97.23,48.36,78.49,30.16
17,BEN,Benin,115937.18,50.38,21.63,62.70,79.80,58.72
19,BGD,Bangladesh,138968.65,42.55,33.90,46.26,23.57,60.82
20,BGR,Bulgaria,111464.48,56.28,92.16,40.90,57.25,29.55
23,BIH,Bosnia and Herzegovina,46410.16,36.76,69.66,22.67,2.88,34.24
24,BLR,Belarus,207643.23,53.88,84.65,40.70,42.47,26.46
27,BOL,Bolivia,1087070.75,54.57,41.51,60.17,88.41,54.70
28,BRA,Brazil,8536317.62,60.90,62.07,60.40,76.76,71.64
30,BRN,Brunei Darussalam,5769.38,62.49,77.76,55.94,90.70,5.17
32,BWA,Botswana,580647.2,53.74,45.69,57.18,100.00,48.53
34,CAN,Canada,9753742.04,58.41,100.00,40.59,53.59,27.81
35,CHE,Switzerland,41271.84,76.69,93.22,69.61,98.06,58.21
36,CHL,Chile,757751.37,55.34,84.84,42.70,57.05,46.30
37,CHN,China,9365944.83,42.24,46.33,40.49,65.65,31.03
38,CIV,Côte d'Ivoire,323297.51,53.55,25.53,65.56,80.67,62.99
39,CMR,Cameroon,465122.8,42.97,19.85,52.87,43.12,75.51
40,COD,Dem. Rep. Congo,2325405.93,47.49,12.31,62.57,51.08,91.65
41,COG,Congo,343952.29,47.18,21.20,58.32,58.58,64.44
43,COL,Colombia,1144394.81,62.33,55.55,65.23,84.43,72.75
46,CRI,Costa Rica,51452.02,69.03,76.19,65.96,72.88,79.02
47,CUB,Cuba,111269.62,56.48,74.37,48.82,57.80,47.20
49,CYP,Cyprus,9289.1,57.15,100.00,38.79,61.00,23.83
50,CZE,Czech Republic,78778.88,64.79,96.02,51.41,84.12,21.72
51,DEU,Germany,357053.7,66.91,98.99,53.16,100.00,30.05
54,DNK,Denmark,43010.15,63.61,98.99,48.44,61.32,34.91
55,DOM,Dominican Republic,48392.54,52.44,58.47,49.86,52.00,56.07
56,DZA,Algeria,2324668.37,48.56,66.64,40.81,37.71,40.71
57,ECU,Ecuador,258165.72,60.55,72.14,55.59,93.91,52.65
58,EGY,Egypt,987472.45,55.18,74.81,46.77,42.99,43.59
59,ERI,Eritrea,123059.77,38.39,33.61,40.44,22.24,74.07
61,ESP,Spain,506659.44,60.31,98.99,43.73,74.19,39.52
62,EST,Estonia,45257.38,56.09,70.48,49.92,100.00,16.45
63,ETH,Ethiopia,1134616.89,52.71,22.68,65.57,67.56,81.30
64,FIN,Finland,337320.78,64.44,100.00,49.20,52.34,31.55
67,FRA,France,549096.13,69.00,98.88,56.20,80.75,44.60
70,GAB,Gabon,266364.32,57.91,37.27,66.76,62.87,67.32
71,GBR,United Kingdom,244840.71,68.82,98.07,56.29,100.00,33.46
72,GEO,Georgia,69889.8,56.84,75.44,48.88,28.36,66.79
73,GHA,Ghana,239888.71,47.50,31.62,54.30,45.13,73.94
80,GRC,Greece,132661.51,60.04,96.02,44.63,79.65,30.07
83,GTM,Guatemala,109666.23,51.88,51.24,52.15,59.76,65.28
88,HND,Honduras,113036.06,52.54,46.14,55.29,65.06,63.95
89,HRV,Croatia,61690.87,64.16,83.86,55.71,74.49,46.26
90,HTI,Haiti,27193.52,41.15,33.33,44.51,15.53,68.49
91,HUN,Hungary,92967.37,57.12,93.79,41.40,30.12,37.87
92,IDN,Indonesia,1900662.92,52.29,48.20,54.04,75.29,48.91
94,IND,India,3279681.99,36.23,25.66,40.76,41.83,51.91
95,IRL,Ireland,70100.1,58.69,98.12,41.79,34.17,31.85
96,IRN,Iran,1622438.3,42.73,58.21,36.09,42.19,19.42
97,IRQ,Iraq,435919.22,25.32,44.52,17.09,0.59,23.68
98,ISL,Iceland,102298.0,66.28,100.00,51.83,70.58,64.98
99,ISR,Israel,22468.13,54.64,97.59,36.23,60.89,27.21
100,ITA,Italy,300906.2,68.90,100.00,55.57,94.79,38.36
101,JAM,Jamaica,11059.52,54.36,61.53,51.29,73.32,34.53
102,JOR,Jordan,90359.45,42.16,76.42,27.47,9.21,35.21
103,JPN,Japan,373154.11,63.36,98.07,48.48,67.12,30.55
104,KAZ,Kazakhstan,2675245.71,32.94,63.69,19.76,14.18,9.63
105,KEN,Kenya,582801.69,49.28,27.91,58.44,72.55,65.32
106,KGZ,Kyrgyzstan,193559.97,46.33,50.46,44.57,23.29,61.82
107,KHM,Cambodia,182473.12,55.29,31.25,65.59,94.75,73.93
110,KOR,South Korea,100152.25,57.20,91.35,42.57,64.79,22.73
111,KWT,Kuwait,17431.77,35.54,83.84,14.84,13.15,3.57
113,LBN,Lebanon,10442.47,47.35,81.85,32.57,26.12,27.97
115,LBY,Libyan Arab Jamahiriya,1622790.07,37.68,77.42,20.65,5.10,20.29
118,LKA,Sri Lanka,66264.46,55.72,66.54,51.08,49.72,67.80
120,LTU,Lithuania,64747.57,65.50,83.28,57.88,86.06,44.67
121,LUX,Luxembourg,2592.98,69.20,100.00,56.00,100.00,19.76
122,LVA,Latvia,64385.35,70.37,73.81,68.90,96.97,56.32
124,MAR,Morocco,406797.78,45.76,60.29,39.53,22.34,57.05
126,MDA,Moldova,34089.71,45.21,60.32,38.74,8.18,42.94
129,MEX,Mexico,1959126.88,49.11,64.07,42.69,63.47,40.50
131,MKD,Macedonia,25250.25,46.96,73.78,35.47,28.18,34.28
133,MLT,Malta,326.16,48.51,91.20,30.22,44.09,32.29
134,MMR,Myanmar,673036.29,52.72,36.01,59.88,53.57,77.27
136,MNG,Mongolia,1565594.38,45.37,46.57,44.85,69.47,19.66
138,MOZ,Mozambique,784037.78,47.82,22.05,58.86,62.03,93.35
144,MYS,Malaysia,331235.22,62.51,85.28,52.75,90.10,27.99
146,NAM,Namibia,828456.38,50.68,43.87,53.60,80.83,67.49
150,NGA,Nigeria,909041.16,40.14,16.54,50.26,52.69,60.03
151,NIC,Nicaragua,120835.96,59.23,54.93,61.07,95.27,61.44
153,NLD,Netherlands,34887.79,65.65,97.23,52.12,84.67,27.58
