,Code,Country,EPI,HLT,ECO,BDH,CCH
0,CHE,Switzerland,87.67,92.19,84.67,100.0,78.14
1,LUX,Luxembourg,83.29,92.26,77.31,100.0,56.75
2,AUS,Australia,82.4,99.44,71.03,83.08,47.67
3,SGP,Singapore,81.78,99.44,70.01,46.33,86.85
4,CZE,Czech Republic,81.47,90.63,75.35,98.35,65.82
5,DEU,Germany,80.47,92.83,72.23,100.0,62.77
6,ESP,Spain,79.79,97.63,67.89,56.56,81.84
7,AUT,Austria,78.32,92.15,69.11,86.59,62.09
8,SWE,Sweden,78.09,99.04,64.12,62.38,77.34
9,NOR,Norway,78.04,99.44,63.77,71.68,75.65
10,NLD,Netherlands,77.75,91.86,68.35,94.69,53.32
11,GBR,United Kingdom,77.35,98.61,63.18,70.11,54.24
12,DNK,Denmark,76.92,97.61,63.12,67.74,67.22
13,ISL,Iceland,76.5,98.77,61.65,81.9,71.31
14,SVN,Slovenia,76.43,91.37,66.47,100.0,54.59
15,NZL,New Zealand,76.41,87.92,68.74,76.05,62.94
16,PRT,Portugal,75.8,98.24,60.84,64.36,80.68
17,FIN,Finland,75.72,99.44,59.9,61.86,62.24
18,IRL,Ireland,74.67,96.27,60.27,18.74,75.01
19,EST,Estonia,74.66,89.12,65.02,100.0,56.71
20,SVK,Slovakia,74.45,87.89,65.48,84.33,72.48
21,ITA,Italy,74.36,81.46,69.63,79.77,63.41
22,GRC,Greece,73.28,91.21,61.32,66.49,59.79
23,CAN,Canada,73.14,97.92,56.61,58.4,59.85
24,ARE,United Arab Emirates,72.91,88.33,62.64,96.47,33.86
25,JPN,Japan,72.35,94.66,57.48,73.53,43.54
26,FRA,France,71.05,96.48,54.09,54.45,49.83
27,HUN,Hungary,70.28,88.98,57.81,29.57,66.87
28,CHL,Chile,69.93,89.42,56.94,60.16,35.92
29,POL,Poland,69.53,76.25,65.05,91.76,60.53
30,RS,Serbia,69.13,76.71,64.08,99.78,62.92
31,BLR,Belarus,67.69,81.0,58.82,41.25,43.15
32,USA,United States of America,67.52,92.74,50.71,63.35,56.45
33,MLT,Malta,67.42,94.7,49.23,80.96,55.32
34,SAU,Saudi Arabia,66.66,87.54,52.73,93.7,46.63
35,BEL,Belgium,66.61,89.82,51.14,57.56,64.47
36,BRN,Brunei Darussalam,66.49,89.51,51.14,100.0,21.73
37,CYP,Cyprus,66.23,95.23,46.9,77.03,61.92
38,ISR,Israel,65.78,92.57,47.93,39.34,41.86
39,LVA,Latvia,64.05,80.52,53.07,95.17,53.27
40,BGR,Bulgaria,64.01,86.57,48.97,68.85,48.18
41,KWT,Kuwait,63.94,77.98,54.59,92.88,42.23
42,KOR,South Korea,63.79,81.7,51.86,50.4,41.55
43,QAT,Qatar,63.03,89.11,45.64,8.47,70.93
44,HRV,Croatia,62.23,83.39,48.13,70.87,63.26
45,TWN,Taiwan,62.18,90.44,43.33,71.39,57.69
46,TON,Tonga,61.68,75.43,52.51,92.16,41.88
47,ARM,Armenia,61.67,74.61,53.05,80.16,39.91
48,LTU,Lithuania,61.26,73.87,52.86,91.83,51.02
49,EGY,Egypt,61.11,69.47,55.54,65.26,61.05
50,MYS,Malaysia,59.31,87.71,40.37,93.37,40.24
51,TUN,Tunisia,58.99,81.19,44.19,31.08,54.38
52,ECU,Ecuador,58.54,73.44,48.62,88.09,54.66
53,CRI,Costa Rica,58.53,82.62,42.47,89.55,38.46
54,JAM,Jamaica,58.26,70.03,50.41,88.04,76.98
55,MUS,Mauritius,58.09,86.55,39.11,43.7,29.91
56,VEN,Venezuela,57.8,72.83,47.79,92.92,43.59
57,PAN,Panama,56.84,68.6,48.99,86.96,52.82
