,Rank,ISO3,Country,2016 EPI Score,Environmental Health,Ecosystem Vitality,EV - Biodiversity and Habitat
0,1,FIN,Finland,90.68,97.23,84.13,96.93
1,2,ISL,Iceland,90.51,98.67,82.35,66.04
2,3,SWE,Sweden,90.43,97.29,83.57,88.76
3,4,DNK,Denmark,89.21,94.29,84.12,97.6
4,5,SVN,Slovenia,88.98,88.32,89.65,100.0
5,6,ESP,Spain,88.91,94.57,83.24,96.73
6,7,PRT,Portugal,88.63,96.55,80.7,95.78
7,8,EST,Estonia,88.59,95.26,81.91,100.0
8,9,MLT,Malta,88.48,92.83,84.13,93.98
9,10,FRA,France,88.2,89.97,86.44,99.52
10,11,NZL,New Zealand,88.0,97.81,78.19,92.75
11,12,GBR,United Kingdom,87.38,93.85,80.92,98.98
12,13,AUS,Australia,87.22,98.71,75.73,87.18
13,14,SGP,Singapore,87.04,89.35,84.74,72.26
14,15,HRV,Croatia,86.98,86.37,87.59,98.96
15,16,CHE,Switzerland,86.93,83.78,90.09,90.43
16,17,NOR,Norway,86.9,97.82,75.98,82.2
17,18,AUT,Austria,86.64,86.41,86.87,93.33
18,19,IRL,Ireland,86.6,95.6,77.61,90.51
19,20,LUX,Luxembourg,86.58,88.88,84.29,100.0
20,21,GRC,Greece,85.81,89.09,82.54,94.82
21,22,LVA,Latvia,85.71,91.0,80.42,97.81
22,23,LTU,Lithuania,85.49,89.13,81.86,98.55
23,24,SVK,Slovakia,85.42,83.77,87.07,100.0
24,25,CAN,Canada,85.06,95.15,74.96,74.5
25,26,USA,United States of America,84.72,94.41,75.03,79.35
26,27,CZE,Czech Republic,84.67,80.81,88.53,100.0
27,28,HUN,Hungary,84.6,81.89,87.3,100.0
28,29,ITA,Italy,84.48,82.83,86.14,98.96
29,30,DEU,Germany,84.26,84.66,83.87,100.0
30,31,AZE,Azerbaijan,83.78,82.96,84.6,75.83
31,32,RUS,Russia,83.52,87.06,79.98,73.7
32,33,BGR,Bulgaria,83.4,85.18,81.62,88.98
33,34,ROU,Romania,83.24,81.19,85.28,95.77
34,35,BLR,Belarus,82.3,87.37,77.24,73.06
35,36,NLD,Netherlands,82.03,82.85,81.21,90.38
36,37,ARM,Armenia,81.6,81.76,81.44,87.43
37,38,POL,Poland,81.26,80.54,81.98,99.76
38,39,JPN,Japan,80.59,86.59,74.58,93.25
39,40,CYP,Cyprus,80.24,88.59,71.9,78.23
40,41,BEL,Belgium,80.15,79.1,81.21,100.0
41,42,CRI,Costa Rica,80.03,91.15,68.91,90.52
42,43,ARG,Argentina,79.84,94.5,65.18,69.72
43,44,UKR,Ukraine,79.69,85.74,73.63,65.58
44,45,CUB,Cuba,79.04,91.09,66.98,78.51
45,46,BRA,Brazil,78.9,87.14,70.67,92.62
46,47,MNE,Montenegro,78.89,89.6,68.19,67.72
47,48,SRB,Serbia,78.67,83.35,73.98,61.46
48,49,ISR,Israel,78.14,79.43,76.85,71.29
49,50,MKD,Macedonia,78.02,84.71,71.33,72.3
50,51,PAN,Panama,78.0,86.15,69.85,87.93
51,52,CHL,Chile,77.67,93.23,62.11,75.15
52,53,TUN,Tunisia,77.28,81.1,73.46,61.04
53,54,JAM,Jamaica,77.02,86.96,67.09,90.47
54,55,MDA,Moldova,76.69,75.3,78.08,53.23
55,56,VEN,Venezuela,76.23,81.21,71.24,95.73
56,57,COL,Colombia,75.93,82.2,69.66,87.99
57,58,DOM,Dominican Republic,75.32,78.91,71.73,93.54
58,59,FJI,Fiji,75.29,86.6,63.99,59.23
59,60,TWN,Taiwan,74.88,76.62,73.14,76.61
60,61,ALB,Albania,74.38,84.74,64.03,54.12
61,62,TTO,Trinidad and Tobago,74.34,92.2,56.47,88.51
62,63,MYS,Malaysia,74.23,84.21,64.25,90.85
63,64,MAR,Morocco,74.18,74.28,74.09,91.1
64,65,URY,Uruguay,73.98,95.48,52.48,54.32
65,66,PHL,Philippines,73.7,75.14,72.27,86.16
66,67,MEX,Mexico,73.59,77.58,69.61,78.66
67,68,BLZ,Belize,73.55,83.39,63.71,99.03
68,69,KAZ,Kazakhstan,73.29,88.42,58.15,53.45
69,70,DMA,Dominica,73.25,86.53,59.98,81.02
