,code,iso,country,EPI.new,HLT.new,ECO.new,BDH.new,CCH.new
0,4,AFG,Afghanistan,25.5,20.0,29.2,21.9,22.2
1,24,AGO,Angola,29.7,20.4,35.9,39.3,49.0
2,8,ALB,Albania,49.0,44.5,52.0,68.2,56.8
3,784,ARE,United Arab Emirates,55.6,55.2,55.9,80.9,38.9
4,32,ARG,Argentina,52.2,60.2,46.8,49.1,60.2
5,51,ARM,Armenia,52.3,43.5,58.1,79.2,46.7
6,28,ATG,Antigua and Barbuda,48.5,55.5,43.8,55.7,58.5
7,36,AUS,Australia,74.9,91.6,63.8,83.7,70.4
8,40,AUT,Austria,79.6,88.0,74.0,85.5,71.3
9,31,AZE,Azerbaijan,46.5,32.7,55.7,56.9,48.6
10,108,BDI,Burundi,27.0,21.9,30.5,52.3,16.8
11,56,BEL,Belgium,73.3,86.0,64.8,87.4,70.2
12,204,BEN,Benin,30.0,20.3,36.4,67.0,30.7
13,854,BFA,Burkina Faso,38.3,19.6,50.9,77.8,31.9
14,50,BGD,Bangladesh,29.0,22.4,33.5,46.8,35.6
15,100,BGR,Bulgaria,57.0,50.3,61.5,77.7,69.5
16,48,BHR,Bahrain,51.0,49.2,52.2,18.9,67.1
17,44,BHS,Bahamas,43.5,53.1,37.0,78.8,28.7
18,70,BIH,Bosnia and Herzegovina,45.4,43.9,46.4,32.9,57.5
19,112,BLR,Belarus,53.0,55.9,51.1,61.2,53.1
20,84,BLZ,Belize,41.9,40.3,43.0,87.9,37.7
21,68,BOL,Bolivia,44.3,35.9,49.8,83.6,40.0
22,76,BRA,Brazil,51.2,49.7,52.2,78.1,51.7
23,52,BRB,Barbados,45.6,60.7,35.6,12.6,59.1
24,96,BRN,Brunei Darussalam,54.8,74.0,42.0,59.2,50.9
25,64,BTN,Bhutan,39.3,29.8,45.7,87.2,24.7
26,72,BWA,Botswana,40.4,20.2,53.8,91.6,37.9
27,140,CAF,Central African Republic,36.9,12.2,53.5,84.7,45.4
28,124,CAN,Canada,71.0,91.7,57.3,60.5,65.7
29,756,CHE,Switzerland,81.5,95.0,72.5,63.0,81.6
30,152,CHL,Chile,55.3,63.4,49.8,65.3,54.3
31,156,CHN,China,37.3,41.8,34.4,19.0,46.3
32,384,CIV,Cote d'Ivoire,25.8,19.4,30.1,62.0,20.2
33,120,CMR,Cameroon,33.6,13.6,46.9,48.6,66.4
34,180,COD,Dem. Rep. Congo,36.4,22.4,45.7,73.3,40.1
35,178,COG,Republic of Congo,30.8,18.1,39.2,71.7,37.1
36,170,COL,Colombia,52.9,55.0,51.6,76.8,55.4
37,174,COM,Comoros,32.1,27.3,35.3,36.3,41.7
38,132,CPV,Cabo Verde,32.8,30.4,34.5,14.3,39.5
39,188,CRI,Costa Rica,52.5,60.5,47.2,70.1,54.8
40,192,CUB,Cuba,48.4,50.5,47.0,51.1,64.2
41,196,CYP,Cyprus,64.8,81.5,53.7,56.5,63.1
42,203,CZE,Czech Republic,71.0,68.3,72.9,85.7,76.3
43,276,DEU,Germany,77.2,89.6,68.9,88.8,71.5
44,262,DJI,Djibouti,28.1,20.1,33.4,23.0,40.1
45,212,DMA,Dominica,44.6,46.8,43.1,56.3,55.1
46,208,DNK,Denmark,82.5,91.7,76.4,81.7,95.0
47,214,DOM,Dominican Republic,46.3,36.1,53.2,81.6,56.1
48,12,DZA,Algeria,44.8,50.4,41.0,39.0,52.5
49,218,ECU,Ecuador,51.0,50.2,51.5,77.3,60.2
50,818,EGY,Egypt,43.3,33.8,49.7,50.6,55.0
51,232,ERI,Eritrea,30.4,15.5,40.4,33.7,43.4
52,724,ESP,Spain,74.3,86.8,66.0,87.6,71.2
53,233,EST,Estonia,65.3,73.0,60.1,87.0,59.0
54,231,ETH,Ethiopia,34.4,25.2,40.6,72.2,26.1
55,246,FIN,Finland,78.9,99.3,65.3,75.5,77.0
56,242,FJI,Fiji,34.4,34.7,34.2,25.1,36.9
57,250,FRA,France,80.0,91.5,72.3,88.3,81.9
58,583,FSM,Micronesia,33.0,30.8,34.5,6.9,39.0
59,266,GAB,Gabon,45.8,27.9,57.8,86.0,63.8
60,826,GBR,United Kingdom,81.3,91.7,74.3,88.0,90.0
61,268,GEO,Georgia,41.3,38.7,43.1,46.2,50.1
62,288,GHA,Ghana,27.6,20.1,32.6,58.9,29.6
63,324,GIN,Guinea,26.4,18.6,31.5,59.9,26.8
64,270,GMB,Gambia,27.9,21.4,32.1,32.6,35.8
65,624,GNB,Guinea-Bissau,29.1,15.1,38.4,72.2,33.6
66,226,GNQ,Equatorial Guinea,38.1,27.6,45.1,66.0,46.1
67,300,GRC,Greece,69.1,80.6,61.4,72.6,66.5
68,308,GRD,Grenada,43.1,46.3,40.9,31.5,59.0
69,320,GTM,Guatemala,31.8,30.8,32.5,41.3,36.7
70,328,GUY,Guyana,35.9,33.5,37.5,51.0,38.2
71,340,HND,Honduras,37.8,33.4,40.7,59.9,43.1
72,191,HRV,Croatia,63.1,61.2,64.3,82.6,70.0
73,332,HTI,Haiti,27.0,21.8,30.5,34.5,37.0
74,348,HUN,Hungary,63.7,54.1,70.0,82.0,71.3
75,360,IDN,Indonesia,37.8,29.0,43.7,56.3,54.4
76,356,IND,India,27.6,16.3,35.2,33.7,45.0
77,372,IRL,Ireland,72.8,94.2,58.6,65.8,66.6
78,364,IRN,Iran,48.0,48.3,47.8,38.4,55.0
79,368,IRQ,Iraq,39.5,39.5,39.4,40.5,31.6
80,352,ISL,Iceland,72.3,98.1,55.0,63.2,60.8
81,376,ISR,Israel,65.8,83.6,54.0,47.6,56.9
82,380,ITA,Italy,71.0,85.5,61.3,75.6,68.1
83,388,JAM,Jamaica,48.2,45.5,50.0,58.2,65.7
84,400,JOR,Jordan,53.4,58.6,49.9,32.2,58.4
85,392,JPN,Japan,75.1,90.3,65.1,76.6,69.5
86,398,KAZ,Kazakhstan,44.7,40.8,47.3,41.6,44.6
