,ISO3Code (v. 10),Indicator,SYS_AIR,SYS_AIR.1,SYS_AIR.2,SYS_AIR.3,SYS_BIO,SYS_BIO.1,SYS_BIO.2,SYS_BIO.3,SYS_BIO.4,SYS_LAN,SYS_LAN.1,SYS_WQL,SYS_WQL.1,SYS_WQL.2,SYS_WQL.3,SYS_WQN,SYS_WQN.1,STR_AIR,STR_AIR.1,STR_AIR.2,STR_AIR.3,STR_AIR.4,STR_ECO,STR_ECO.1,STR_POP,STR_POP.1,STR_WAS,STR_WAS.1,STR_WAS.2,STR_WAT,STR_WAT.1,STR_WAT.2,STR_WAT.3,STR_NRM,STR_NRM.1,STR_NRM.2,STR_NRM.3,STR_NRM.4,VUL_HEA,VUL_HEA.1,VUL_HEA.2,VUL_SUS,VUL_SUS.1,VUL_DIS,VUL_DIS.1,CAP_GOV,CAP_GOV.1,CAP_GOV.2,CAP_GOV.3,CAP_GOV.4,CAP_GOV.5,CAP_GOV.6,CAP_GOV.7,CAP_GOV.8,CAP_GOV.9,CAP_GOV.10,CAP_GOV.11,CAP_EFF,CAP_EFF.1,CAP_PRI,CAP_PRI.1,CAP_PRI.2,CAP_PRI.3,CAP_PRI.4,CAP_ST,CAP_ST.1,CAP_ST.2,CAP_ST.3,CAP_ST.4,GLO_COL,GLO_COL.1,GLO_COL.2,GLO_GHG,GLO_GHG.1,GLO_TBP,GLO_TBP.1
0,,Country (alphabetical order),NO2,SO2,TSP,INDOOR,ECORISK,PRTBRD,PRTMAM,PRTAMPH,NBI,ANTH10,ANTH40,WQ_DO,WQ_EC,WQ_PH,WQ_SS,WATAVL,GRDAVL,NOXKM,SO2KM,VOCKM,COALKM,CARSKM,FOREST,ACEXC,GR2050,TFR,EFPC,RECYCLE,HAZWST,BODWAT,FERTHA,PESTHA,WATSTR,OVRFSH,IRRSAL,FORCERT,WEFSUB,AGSUB,DISINT,DISRES,U5MORT,UND_NO,WATSUP,DISCAS,DISEXP,PRAREA,GASPR,CSDMIS,KNWLDG,IUCN,AGENDA21,GRAFT,LAW,CIVLIB,WEFGOV,GOVEFF,POLITY,ENEFF,RENPC,DJSGI,ECOVAL,ISO14,WEFPRI,RESCARE,INNOV,DAI,PECR,ENROL,RESEARCH,EIONUM,FUNDING,PARTICIP,CO2GDP,CO2PC,SO2EXP,POLEXP
1,AFG,Afghanistan,..,..,..,98,53.02,4.68,10.57,14.29,0.46,19.8,0.08,..,..,..,..,5.17,..,..,..,..,0,0.03,0,0,187,6.8,0.95,..,..,..,23.26,..,97.82,..,..,0,..,0,..,..,257,70,13,24.63,0.91,0.3,0.56,54.35,..,0.04,..,-1.35,-1.61,6,..,-1.39,-5.38,..,20.71,..,..,0,..,0,..,..,0,..,..,4,7.05,0.43,..,0.04,..,..
2,ALB,Albania,..,..,167.42,15,100,1.3,4.41,12.5,0.53,0.44,3.25,..,..,..,..,7.13,1.92,0.07,0.6,0.57,0.01,7.22,-0.8,2.54,15,2.1,1.25,0,253,0.29,323.53,0.18,23.09,3,0,0,..,0,1.44,12.85,30,4,97,0.22,0.04,2.6,1.31,34.78,..,0,2.22,-0.85,-0.92,3,..,-0.47,5.7,5.99,39.6,..,..,0,..,0,..,0.39,97,15,..,3,88.46,0.42,224.52,0.92,58,17.26
3,DZA,Algeria,..,..,..,4,5.78,3.13,14.13,10,0.31,84.25,0.58,..,..,..,..,0.76,0.05,0.86,0.12,0.86,0.05,8.5,1.3,0,37,2.5,1.67,..,58,2.14,137.38,..,67.94,5,..,0,3.5,0,..,..,49,6,87,0.5,0.2,5.1,0.36,21.74,..,0.1,0.1,-0.7,-0.54,5.5,29.16,-0.59,-2.8,6.77,0.05,..,..,0.02,9.43,0,1.86,0.37,100,14.98,..,11,14.74,0.6,499.89,2.96,..,30.84
4,ASM,American Samoa,..,..,..,..,0,..,..,..,..,8.33,0,..,..,..,..,..,..,..,..,..,0,34.94,0,0,-31,3.86,..,..,..,..,..,..,..,1,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,0,..,..,0,..,0,..,..,..,..,..,0,..,0,..,..,..,..
5,AND,Andorra,..,..,..,..,0,..,..,0,..,3.55,31.16,..,..,..,..,..,..,..,..,..,..,..,..,0,-3,1.26,..,..,326,..,..,..,..,..,..,0,..,0,..,..,7,..,100,..,..,7.2,..,..,..,29.41,..,1.29,..,1,..,..,..,..,..,..,..,1.53,..,0,..,..,..,..,..,0,..,0.14,..,..,..,..
6,AGO,Angola,..,..,..,100,4.09,1.96,6.88,0,0.64,49.04,0.04,..,..,..,..,140.46,5.42,0.33,0.2,1.94,0,0.41,-0.2,1.83,206,6.8,0.76,..,..,0,0,0.1,0,3,..,0,2.69,0,..,..,260,49,50,0.11,0.55,10,0.31,32.61,..,0.23,..,-1.12,-1.56,5.5,17.74,-1.16,-3.4,4.3,8.74,..,..,0,7.45,0,1.34,0.11,71,0.67,..,9,37.18,0.31,254.02,0.52,..,..
7,AIA,Anguilla,..,..,..,..,0,..,..,0,..,0,68.97,..,..,..,..,..,..,..,..,..,..,..,..,0,23,1.98,..,..,..,..,..,..,..,2,..,0,..,0,..,..,..,..,60,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..,..,100,..,..,0,..,0,..,..,..,..
8,ATG,Antigua and Barbuda,..,..,..,..,0,..,..,0,..,0,33.65,..,..,..,..,..,..,..,6.76,1.46,0,54.07,0,0,1,2.7,..,..,..,..,..,..,..,2,0,0,..,0,..,..,14,..,91,..,1,..,0.92,..,..,0,..,0.84,1.02,3,..,0.56,..,9.35,0,..,..,0,..,0,..,0.57,..,..,..,4,59.62,0.64,157.3,4.91,..,..
9,ARG,Argentina,56.79,1.02,50.01,0,39.07,4.35,10,19.35,0.62,46.51,1,8.53,118.62,0.09,4.35,27.27,3.38,0.83,0.02,0.51,0.02,7.15,-0.8,0,40,2.44,3.18,0.3,..,0.19,255.11,1.9,19.64,4,1.68,0.38,4.15,1,2.04,0,19,0,..,0.34,0.59,6.3,1.03,26.09,19.33,0.47,0.03,-0.77,-0.73,3,32.26,-0.49,8.4,5.66,14.92,..,..,41.51,9.48,4,2.94,0.53,100,47.96,684.38,16,19.87,0.93,128.71,3.73,..,22.92
