,Code,Country,EPI_2010,HLT_2010,ECO_2010,BDH_2010,CCH_2010,EPI_2006,HLT_2006,ECO_2006,BDH_2006,CCH_2006,EPI_2008,HLT_2008,BDH_2008,GDP_pc_ppp,Landarea,EPI_2012,HLT_2012,ECO_2012,BDH_2012,CCH_2012,EPI_2014,HLT_2014,ECO_2014,BDH_2014,CCH_2014,EPI_2016,HLT_2016,ECO_2016,BDH_2016,CCH_2016,EPI_2018,HLT_2018,ECO_2018,BDH_2018,CCE_2018,EPI_current,HLT_current,ECO_current,BDH_current,CCE_2020,Safety_score,Arrivals,CCH_2008,average_EPI,average_HLT,average_BDH,average_ECO,average_CCE,Rural_eco_rating,Urban_eco_rating
0,ISL,Iceland,93.5,95.09,91.87,68.86,90.31,87.6,99.3,75.8,62.3,82.3,82.1,98.8,63.7,"$31,900",102298.0,66.28,100.00,51.83,70.58,64.98,76.5,98.77,61.65,81.9,71.31,90.51,98.67,82.35,66.04,96.4,78.57,98.41,65.34,75.77,61.96,72.3,98.1,55.0,63.2,60.8,1.107,2343800.0,65.2,83.01142857142857,98.16285714285713,68.82428571428571,72.00166666666667,77.18,71.58167142857143,91.23851428571429
1,CHE,Switzerland,89.1,92.29,85.9,100.0,73.83,95.5,98.9,92.1,82.7,94.6,81.4,98.3,28.6,"$33,800",41271.84,76.69,93.22,69.61,98.06,58.21,87.67,92.19,84.67,100.0,78.14,86.93,83.78,90.09,90.43,82.53,87.42,93.57,83.32,84.2,90.55,81.5,95.0,72.5,63.0,81.6,1.357,10362000.0,72.15,87.07428571428571,93.43285714285715,78.41857142857144,84.76333333333334,83.54166666666667,80.10919285714287,90.16876428571429
2,CRI,Costa Rica,86.4,82.18,90.61,73.4,78.55,90.5,93.2,87.7,48.0,98.3,81.6,81.1,80.3,"$9,600",51452.02,69.03,76.19,65.96,72.88,79.02,58.53,82.62,42.47,89.55,38.46,80.03,91.15,68.91,90.52,81.52,67.85,76.44,62.13,87.71,59.29,52.5,60.5,47.2,70.1,54.8,1.732,3017000.0,73.3,73.91571428571429,81.02714285714286,77.08285714285714,66.50333333333333,68.48666666666666,74.24611428571428,76.88878571428572
3,SWE,Sweden,86.0,92.77,79.32,61.04,70.11,93.1,99.4,86.9,58.0,91.6,87.8,99.4,55.6,"$28,400",443016.37,68.82,100.00,55.45,52.14,57.85,78.09,99.04,64.12,62.38,77.34,90.43,97.29,83.57,88.76,92.73,80.51,94.41,71.24,81.0,86.8,78.7,98.4,65.6,72.5,77.2,1.564,7440000.0,72.65,84.94714285714288,97.24428571428572,68.46857142857142,75.125,82.63,73.14184285714286,92.42157142857144
4,NOR,Norway,81.1,90.75,71.52,46.63,65.68,93.1,99.3,86.9,61.2,92.7,80.2,98.8,35.9,"$40,000",325602.24,69.92,100.00,57.03,63.74,56.30,78.04,99.44,63.77,71.68,75.65,86.9,97.82,75.98,82.2,57.12,77.49,97.86,63.91,88.96,63.58,77.7,98.5,63.8,71.5,78.9,1.465,5688000.0,69.65,82.0757142857143,97.49571428571429,65.43857142857142,70.98,72.27166666666666,67.69349285714286,89.17177857142858
5,MUS,Mauritius,80.6,83.66,77.51,44.96,72.92,78.1,97.7,58.5,21.9,53.5,,,,,,,,,,,58.09,86.55,39.11,43.7,29.91,70.85,94.56,47.13,55.45,,56.63,77.45,42.75,38.28,48.06,45.1,60.0,35.3,19.3,51.0,1.57,1399000.0,,64.895,83.32000000000001,37.265,50.050000000000004,51.078,41.82329,72.68014000000001
6,FRA,France,78.2,90.75,65.69,67.43,56.36,87.8,99.4,76.2,27.4,85.7,82.5,99.2,50.9,"$28,700",549096.13,69.00,98.88,56.20,80.75,44.60,71.05,96.48,54.09,54.45,49.83,88.2,89.97,86.44,99.52,80.12,83.95,95.71,76.11,96.25,70.46,80.0,91.5,72.3,88.3,81.9,1.895,89322000.0,70.2,81.67142857142858,94.7157142857143,69.17857142857143,71.80499999999999,70.72833333333334,69.68999285714287,86.7998785714286
7,AUT,Austria,78.1,89.47,66.8,100.0,50.07,89.4,98.1,80.7,71.6,79.9,85.2,97.7,28.8,"$31,300",83879.59,68.92,98.99,56.03,58.00,46.58,78.32,92.15,69.11,86.59,62.09,86.64,86.41,86.87,93.33,78.76,78.97,86.38,74.03,91.69,62.79,79.6,88.0,74.0,85.5,71.3,1.3,30816000.0,69.7,82.31857142857143,91.17285714285713,79.64428571428572,75.25166666666667,67.485,75.63172142857144,83.35586428571428
8,CUB,Cuba,78.1,84.35,71.91,49.63,66.6,80.7,96.4,65.1,28.0,64.5,75.3,85.1,66.0,"$3,000",111269.62,56.48,74.37,48.82,57.80,47.20,55.07,80.64,38.02,56.06,16.93,79.04,91.09,66.98,78.51,,63.42,75.76,55.2,74.37,49.15,48.4,50.5,47.0,51.1,64.2,2.083,4684000.0,52.7,68.57571428571428,80.54857142857144,57.667142857142856,57.36833333333333,52.275999999999996,55.888065714285716,71.21862285714286
9,COL,Colombia,76.8,74.6,78.94,82.66,71.32,88.3,91.4,85.2,75.0,87.1,80.4,82.4,60.3,"$6,600",1144394.81,62.33,55.55,65.23,84.43,72.75,50.77,66.01,40.62,80.4,43.49,75.93,82.2,69.66,87.99,72.63,65.22,71.05,61.33,81.37,50.1,52.9,55.0,51.6,76.8,55.4,2.729,3904000.0,75.9,70.04571428571428,74.6657142857143,77.78857142857143,64.55833333333332,63.339999999999996,73.02054285714286,70.92822857142858
