,Country,Gas,Unit,2006,2008,2010,2012,2014,2016,2018
0,China,CO2,MtCO₂e,6099.67,6862.78,8138.34,8823.05,9184.77,9164.21,9663.36
1,United States,CO2,MtCO₂e,5254.87,5161.51,4990.96,4531.16,4683.35,4656.84,4749.57
2,India,CO2,MtCO₂e,1219.23,1428.85,1670.29,1843.74,2072.03,2149.01,2400.25
3,Indonesia,CO2,MtCO₂e,1152.83,731.76,773.92,1303.87,1539.23,1068.1,1269.55
4,Japan,CO2,MtCO₂e,1092.63,1061.73,1057.96,1202.66,1170.11,1139.33,1074.08
5,Russia,CO2,MtCO₂e,821.2,844.09,814.11,979.37,919.33,971.87,1049.05
6,Brazil,CO2,MtCO₂e,1435.1,1473.28,1498.84,713.75,768.77,826.21,812.02
7,Germany,CO2,MtCO₂e,795.83,771.22,754.58,730.81,708.25,717.68,680.06
8,Iran,CO2,MtCO₂e,446.5,489.82,506.63,571.12,610.67,605.81,629.35
9,Canada,CO2,MtCO₂e,842.42,851.45,836.28,682.31,697.02,585.58,609.67
10,Democratic Republic of the Congo,CO2,MtCO₂e,369.3,369.57,369.76,603.8,606.16,603.43,603.57
11,South Korea,CO2,MtCO₂e,426.82,453.07,514.14,548.5,535.54,568.98,585.07
12,Saudi Arabia,CO2,MtCO₂e,328.35,382.24,439.23,488.75,536.81,556.74,514.6
13,Mexico,CO2,MtCO₂e,382.98,410.68,402.21,494.56,472.17,493.7,486.58
14,South Africa,CO2,MtCO₂e,385.95,432.95,431.5,432.99,454.27,431.74,439.8
15,Australia,CO2,MtCO₂e,404.44,417.88,416.72,356.33,340.43,386.15,388.81
16,Turkey,CO2,MtCO₂e,218.13,244.24,254.16,269.21,280.97,345.94,384.32
17,United Kingdom,CO2,MtCO₂e,530.68,503.46,470.83,456.12,403.89,367.93,347.84
18,Malaysia,CO2,MtCO₂e,277.26,309.7,316.2,91.92,135.37,310.17,319.59
19,Italy,CO2,MtCO₂e,431.94,410.27,370.56,342.08,292.83,320.52,312.03
20,Poland,CO2,MtCO₂e,242.51,236.73,242.12,276.27,258.63,266.86,279.83
21,Thailand,CO2,MtCO₂e,184.56,194.8,202.37,252.33,259.38,273.79,270.9
22,France,CO2,MtCO₂e,305.12,291.73,281.45,275.23,243.42,250.72,247.98
23,Egypt,CO2,MtCO₂e,168.96,188.94,196.33,213.32,217.56,234.14,246.45
24,Vietnam,CO2,MtCO₂e,113.77,135.62,167.68,124.61,146.44,211.7,245.36
25,Spain,CO2,MtCO₂e,322.65,305.03,254.12,261.41,233.1,233.15,244.45
26,Kazakhstan,CO2,MtCO₂e,178.69,230.49,222.05,231.63,195.37,220.04,217.46
27,Pakistan,CO2,MtCO₂e,139.55,149.23,147.68,149.2,159.12,187.57,215.37
28,Argentina,CO2,MtCO₂e,250.19,262.98,262.97,244.1,245.48,213.99,207.11
29,United Arab Emirates,CO2,MtCO₂e,121.46,156.2,162.82,175.73,183.84,199.46,200.3
30,Iraq,CO2,MtCO₂e,83.84,85.99,120.18,151.94,168.92,172.84,188.64
31,Venezuela,CO2,MtCO₂e,237.03,250.61,258.53,292.24,296.87,204.88,181.29
32,Nigeria,CO2,MtCO₂e,138.2,137.52,136.73,146.67,162.19,154.41,176.66
33,Ukraine,CO2,MtCO₂e,279.54,276.79,244.87,263.01,223.34,189.1,173.18
34,Colombia,CO2,MtCO₂e,138.22,140.52,145.22,126.78,136.32,166.72,162.46
35,Netherlands,CO2,MtCO₂e,164.82,166.5,172.28,158.89,151.26,159.64,152.52
36,Algeria,CO2,MtCO₂e,91.35,101.59,110.74,126.01,138.18,143.55,151.87
37,Philippines,CO2,MtCO₂e,73.19,79.11,85.95,90.49,106.84,127.38,144.7
38,Peru,CO2,MtCO₂e,95.96,103.44,110.45,137.24,141.68,146.32,144.07
39,Myanmar,CO2,MtCO₂e,135.2,130.98,134.15,118.38,124.63,125.78,136.92
40,Uzbekistan,CO2,MtCO₂e,110.33,112.59,110.95,108.17,102.29,103.98,108.72
41,Bangladesh,CO2,MtCO₂e,58.36,64.06,73.09,80.01,85.7,95.49,104.5
42,Zimbabwe,CO2,MtCO₂e,20.77,18.54,20.75,23.43,23.47,98.15,99.43
43,Czech Republic,CO2,MtCO₂e,113.65,111.36,106.98,103.54,96.12,97.04,96.66
44,Belgium,CO2,MtCO₂e,105.63,103.92,103.46,92.6,87.8,94.48,93.63
45,Qatar,CO2,MtCO₂e,44.98,55.23,62.27,73.29,80.4,85.28,90.17
46,Bolivia,CO2,MtCO₂e,68.05,69.91,71.94,77.02,79.95,88.99,90.09
47,Kuwait,CO2,MtCO₂e,69.65,72.89,78.22,83.58,83.57,89.87,89.45
48,Tanzania,CO2,MtCO₂e,58.1,58.07,58.88,61.83,62.68,75.03,75.68
49,Oman,CO2,MtCO₂e,37.52,40.08,46.47,58.65,64.47,69.56,73.39
50,Turkmenistan,CO2,MtCO₂e,49.57,56.68,57.19,66.3,69.49,72.02,71.73
51,Greece,CO2,MtCO₂e,99.62,99.32,86.49,81.49,70.95,68.25,66.68
52,Ecuador,CO2,MtCO₂e,57.68,58.84,63.22,53.68,58.25,65.16,65.68
53,Morocco,CO2,MtCO₂e,41.66,45.66,49.14,58.71,59.72,61.14,64.74
54,Angola,CO2,MtCO₂e,55.95,60.69,64.14,65.85,70.23,71.01,62.93
55,Israel,CO2,MtCO₂e,64.32,66.7,70.51,76.01,64.67,65.34,62.05
56,Mozambique,CO2,MtCO₂e,50.79,51.17,51.64,48.66,50.05,58.61,59.47
57,Libya,CO2,MtCO₂e,49.37,51.47,57.23,52.3,59.7,51.18,58.94
58,Austria,CO2,MtCO₂e,67.93,64.56,63.79,58.04,54.92,56.27,56.06
59,Paraguay,CO2,MtCO₂e,60.13,60.48,61.35,73.35,73.8,53.1,54.4
60,Romania,CO2,MtCO₂e,96.25,92.52,74.81,-203.39,-213.71,48.26,52.0
61,Finland,CO2,MtCO₂e,52.06,41.74,47.7,-5.25,-8.47,52.33,51.3
62,Portugal,CO2,MtCO₂e,61.04,57.43,51.53,47.42,45.12,49.06,50.07
63,Botswana,CO2,MtCO₂e,45.44,45.75,44.71,46.46,48.46,48.45,49.54
64,Papua New Guinea,CO2,MtCO₂e,39.01,38.23,38.24,45.2,45.98,48.47,48.46
65,Hungary,CO2,MtCO₂e,57.73,55.29,50.15,44.77,41.96,46.39,48.28
66,Ethiopia,CO2,MtCO₂e,36.53,38.04,37.72,40.2,43.91,46.75,48.0
67,Singapore,CO2,MtCO₂e,37.12,38.37,42.36,43.64,44.41,46.19,47.39
68,Solomon Islands,CO2,MtCO₂e,2.03,2.01,2.03,-17.47,-17.48,45.77,45.78
69,Serbia,CO2,MtCO₂e,18.17,15.76,11.07,42.61,35.88,46.16,45.45
70,Cameroon,CO2,MtCO₂e,48.29,49.57,50.41,40.77,41.46,42.33,42.38
71,Sudan,CO2,MtCO₂e,34.23,36.31,37.68,36.73,36.85,41.49,41.2
72,Zambia,CO2,MtCO₂e,19.62,19.64,20.09,36.89,37.64,38.41,40.47
73,Cambodia,CO2,MtCO₂e,6.52,7.52,8.5,70.35,71.55,38.9,40.16
74,Belarus,CO2,MtCO₂e,33.97,35.27,36.42,43.38,43.05,33.85,37.8
75,Côte d'Ivoire,CO2,MtCO₂e,32.21,32.95,32.83,34.5,35.59,35.96,36.55
76,Switzerland,CO2,MtCO₂e,43.12,42.6,42.85,40.26,37.51,37.37,35.23
77,Ireland,CO2,MtCO₂e,45.68,44.22,38.5,34.85,33.3,35.91,34.32
78,Denmark,CO2,MtCO₂e,58.19,50.1,48.16,36.25,33.81,36.23,34.23
79,Slovakia,CO2,MtCO₂e,29.48,28.64,27.05,24.76,22.84,30.43,31.93
80,Bahrain,CO2,MtCO₂e,22.49,24.77,25.98,26.57,30.22,30.2,30.75
81,Azerbaijan,CO2,MtCO₂e,32.36,27.77,22.33,27.91,29.78,30.74,30.1
82,Chile,CO2,MtCO₂e,20.96,32.16,33.63,-2.86,-4.97,28.29,28.75
83,Burkina Faso,CO2,MtCO₂e,17.85,18.36,18.54,8.58,8.89,27.6,28.37
84,Syria,CO2,MtCO₂e,58.15,63.39,59.02,45.32,26.4,26.46,27.92
85,Lebanon,CO2,MtCO₂e,16.24,18.67,20.89,23.41,24.86,27.73,27.63
86,Laos,CO2,MtCO₂e,13.82,14.22,15.05,11.94,13.09,24.03,27.46
87,Tunisia,CO2,MtCO₂e,22.76,23.48,26.13,30.56,32.71,25.2,26.19
88,Nicaragua,CO2,MtCO₂e,28.15,28.1,28.15,15.67,15.74,24.89,24.72
89,Jordan,CO2,MtCO₂e,20.17,20.01,20.2,24.12,25.59,24.86,24.7
90,Mongolia,CO2,MtCO₂e,16.53,17.07,18.42,20.31,21.3,21.28,24.42
91,Chad,CO2,MtCO₂e,17.49,17.63,17.7,26.79,26.83,24.35,24.4
92,Dominican Republic,CO2,MtCO₂e,18.38,18.6,18.7,20.47,20.14,22.9,23.56
93,Sri Lanka,CO2,MtCO₂e,14.9,15.28,15.53,17.47,18.22,23.85,23.54
94,Uganda,CO2,MtCO₂e,18.45,19.02,19.68,19.74,20.57,21.5,21.95
95,Cuba,CO2,MtCO₂e,16.05,16.06,20.01,16.14,14.17,25.4,21.92
96,New Zealand,CO2,MtCO₂e,11.48,11.54,8.3,15.3,15.07,20.57,21.59
97,Guatemala,CO2,MtCO₂e,25.23,24.96,25.16,19.86,21.66,20.73,21.48
98,North Korea,CO2,MtCO₂e,80.64,74.53,53.32,41.7,34.62,33.38,21.41
99,Bosnia and Herzegovina,CO2,MtCO₂e,18.26,21.11,21.19,18.25,15.77,20.6,20.81
100,Sweden,CO2,MtCO₂e,37.61,34.94,37.15,19.9,16.89,22.14,19.68
101,Benin,CO2,MtCO₂e,14.54,15.06,15.8,15.45,16.22,17.94,18.62
102,Norway,CO2,MtCO₂e,14.51,14.23,19.05,20.16,19.34,18.99,18.43
103,Somalia,CO2,MtCO₂e,17.93,17.97,17.98,17.98,18.0,18.01,18.04
104,Estonia,CO2,MtCO₂e,14.54,16.96,17.58,10.63,11.67,17.58,17.96
105,Trinidad and Tobago,CO2,MtCO₂e,22.36,21.28,22.76,22.23,22.03,18.35,17.88
106,Guyana,CO2,MtCO₂e,10.42,10.68,10.84,18.74,18.77,16.39,16.51
107,Guinea,CO2,MtCO₂e,12.99,13.09,13.58,13.62,13.38,15.04,15.35
108,Honduras,CO2,MtCO₂e,13.39,14.01,13.56,15.04,15.36,14.92,15.3
109,Nepal,CO2,MtCO₂e,-1.53,-1.16,0.48,9.01,10.15,12.3,14.97
110,Namibia,CO2,MtCO₂e,13.1,13.52,13.69,14.1,14.56,14.92,14.81
111,Liberia,CO2,MtCO₂e,14.13,13.98,14.17,14.4,14.66,14.85,14.76
112,Panama,CO2,MtCO₂e,11.89,11.7,13.58,14.86,15.68,15.17,14.53
113,Slovenia,CO2,MtCO₂e,4.78,5.86,4.28,12.54,10.55,14.27,14.39
114,Central African Republic,CO2,MtCO₂e,14.22,14.23,14.24,14.27,14.28,14.29,14.31
115,Senegal,CO2,MtCO₂e,11.94,12.77,13.39,11.93,13.04,14.25,14.19
116,Republic of Congo,CO2,MtCO₂e,13.94,14.42,14.02,14.11,13.55,13.76,13.69
117,Madagascar,CO2,MtCO₂e,23.67,23.82,23.91,12.85,13.15,13.33,13.49
118,Croatia,CO2,MtCO₂e,20.79,20.91,18.63,15.96,14.84,12.59,12.24
119,Suriname,CO2,MtCO₂e,5.5,5.42,5.71,10.69,10.89,11.67,11.44
120,Gabon,CO2,MtCO₂e,7.23,7.32,7.95,12.27,11.95,12.16,11.08
121,Lithuania,CO2,MtCO₂e,13.07,13.11,12.64,5.86,4.78,10.59,10.95
122,Kenya,CO2,MtCO₂e,24.41,25.03,27.75,20.42,23.32,11.15,10.78
123,Equatorial Guinea,CO2,MtCO₂e,13.0,12.81,13.35,13.84,11.92,9.43,10.51
124,South Sudan,CO2,MtCO₂e,7.16,7.16,7.17,7.99,8.07,10.67,10.28
125,Malawi,CO2,MtCO₂e,9.11,9.29,9.22,9.3,9.24,9.5,9.71
126,Georgia,CO2,MtCO₂e,1.18,1.32,1.81,7.19,8.47,9.65,9.46
127,Yemen,CO2,MtCO₂e,19.41,22.01,23.99,19.68,26.71,10.88,9.31
128,Luxembourg,CO2,MtCO₂e,11.22,10.53,10.54,10.45,9.41,8.58,9.04
129,Moldova,CO2,MtCO₂e,6.97,7.14,7.29,7.69,7.27,8.25,8.7
130,Jamaica,CO2,MtCO₂e,9.63,7.19,5.05,7.35,7.64,7.93,8.69
131,El Salvador,CO2,MtCO₂e,8.32,7.99,7.62,7.85,7.67,8.25,7.89
132,Kyrgyzstan,CO2,MtCO₂e,5.31,7.5,6.34,9.32,8.97,6.43,7.73
133,Afghanistan,CO2,MtCO₂e,2.06,4.51,8.79,10.2,7.56,7.55,7.59
134,Brunei,CO2,MtCO₂e,8.48,8.48,8.11,7.48,7.37,6.79,7.47
135,Macedonia,CO2,MtCO₂e,9.37,9.58,8.73,9.13,7.78,7.39,7.37
136,Bulgaria,CO2,MtCO₂e,25.41,26.47,21.29,33.01,30.12,7.94,7.32
137,Tajikistan,CO2,MtCO₂e,2.32,2.68,2.07,2.59,4.07,5.83,7.2
138,Cyprus,CO2,MtCO₂e,7.67,8.13,7.55,6.7,6.43,6.9,6.98
139,Belize,CO2,MtCO₂e,3.75,3.74,3.81,6.16,5.96,5.87,5.92
140,Mali,CO2,MtCO₂e,1.89,2.09,2.78,3.11,3.12,4.42,5.62
141,Armenia,CO2,MtCO₂e,4.61,5.81,4.46,5.64,5.4,5.1,5.59
142,Albania,CO2,MtCO₂e,2.94,3.05,3.46,3.74,4.37,4.7,5.32
143,Latvia,CO2,MtCO₂e,-5.65,-5.71,-5.28,4.92,4.6,4.37,4.85
144,Uruguay,CO2,MtCO₂e,-3.64,-2.22,-3.69,1.62,-0.4,4.76,4.75
145,Sierra Leone,CO2,MtCO₂e,3.97,3.9,3.94,4.24,4.52,4.31,4.36
146,Mauritius,CO2,MtCO₂e,3.39,3.55,3.75,3.73,3.96,4.01,4.11
147,Burundi,CO2,MtCO₂e,3.73,3.73,3.86,-1.01,-1.02,3.96,4.07
148,Haiti,CO2,MtCO₂e,1.79,2.1,2.53,3.15,3.71,4.04,3.96
149,Niger,CO2,MtCO₂e,1.98,2.1,2.6,3.12,3.21,3.22,3.53
150,Togo,CO2,MtCO₂e,2.51,2.51,3.57,3.17,2.53,3.11,3.07
151,Mauritania,CO2,MtCO₂e,1.85,2.19,2.47,2.79,2.91,1.73,2.92
152,Rwanda,CO2,MtCO₂e,3.18,3.2,3.24,2.5,2.59,2.73,2.73
153,Lesotho,CO2,MtCO₂e,1.92,2.01,2.16,2.28,2.31,2.27,2.57
154,Montenegro,CO2,MtCO₂e,-1.95,-1.44,-1.55,2.36,2.25,2.14,2.55
155,Bahamas,CO2,MtCO₂e,2.02,2.11,2.08,3.64,2.62,2.19,2.26
156,Iceland,CO2,MtCO₂e,2.31,2.16,1.93,1.78,1.97,1.98,2.11
157,Maldives,CO2,MtCO₂e,0.87,0.87,0.96,1.14,1.36,1.75,1.91
158,Guinea-Bissau,CO2,MtCO₂e,1.7,1.71,1.73,1.74,1.76,1.78,1.8
159,Malta,CO2,MtCO₂e,2.65,2.72,2.58,2.71,2.35,1.34,1.54
160,Barbados,CO2,MtCO₂e,1.47,1.78,1.59,2.21,1.29,1.31,1.25
161,Eritrea,CO2,MtCO₂e,0.98,0.9,0.96,1.01,1.06,1.11,1.24
162,Gambia,CO2,MtCO₂e,0.89,0.96,0.97,0.99,1.04,1.06,1.1
163,Timor-Leste,CO2,MtCO₂e,0.67,0.67,0.71,0.76,0.99,1.15,1.1
164,Eswatini,CO2,MtCO₂e,0.88,0.89,0.88,0.93,0.83,1.1,0.96
165,Costa Rica,CO2,MtCO₂e,6.09,7.06,6.65,0.18,0.54,0.79,0.95
166,Seychelles,CO2,MtCO₂e,0.74,0.7,0.44,0.45,0.46,0.54,0.62
167,Cape Verde,CO2,MtCO₂e,0.44,0.41,0.48,0.47,0.44,0.48,0.56
168,Antigua and Barbuda,CO2,MtCO₂e,0.44,0.48,0.49,0.72,0.48,0.5,0.53
169,Djibouti,CO2,MtCO₂e,0.43,0.47,0.52,0.51,0.46,0.49,0.49
170,Andorra,CO2,MtCO₂e,0.55,0.54,0.52,0.49,0.46,0.47,0.46
171,Samoa,CO2,MtCO₂e,0.3,0.29,0.3,0.31,0.32,0.4,0.43
172,Sao Tome and Principe,CO2,MtCO₂e,0.09,0.1,0.11,0.33,0.33,0.34,0.35
173,Comoros,CO2,MtCO₂e,0.21,0.18,0.22,0.21,0.22,0.26,0.32
174,Grenada,CO2,MtCO₂e,0.26,0.29,0.29,0.42,0.25,0.28,0.3
175,Palau,CO2,MtCO₂e,0.25,0.21,0.21,0.21,0.22,0.26,0.29
176,Saint Vincent and the Grenadines,CO2,MtCO₂e,0.25,0.22,0.25,0.4,0.29,0.27,0.28
177,Saint Kitts and Nevis,CO2,MtCO₂e,0.23,0.25,0.24,0.35,0.23,0.25,0.26
178,Saint Lucia,CO2,MtCO₂e,0.29,0.2,0.28,0.38,0.21,0.2,0.24
179,Marshall Islands,CO2,MtCO₂e,0.14,0.13,0.14,0.14,0.15,0.18,0.19
180,Tonga,CO2,MtCO₂e,0.15,0.13,0.12,0.11,0.11,0.15,0.19
181,Vanuatu,CO2,MtCO₂e,0.07,0.1,0.13,0.12,0.16,0.18,0.18
182,Dominica,CO2,MtCO₂e,0.16,0.17,0.17,0.25,0.17,0.17,0.16
183,Micronesia,CO2,MtCO₂e,0.11,0.09,0.08,0.1,0.11,0.14,0.15
184,Liechtenstein,CO2,MtCO₂e,0.26,0.25,0.22,0.19,0.16,0.15,0.14
185,Cook Islands,CO2,MtCO₂e,0.06,0.06,0.06,0.07,0.07,0.07,0.08
186,Kiribati,CO2,MtCO₂e,0.07,0.06,0.05,0.06,0.06,0.08,0.08
187,Bhutan,CO2,MtCO₂e,-6.21,-6.21,-6.14,-0.56,-0.38,-0.09,0.07
