,Country,2022
0,Afghanistan,3.554
1,Albania,1.761
2,Algeria,2.146
3,Angola,1.982
4,Argentina,1.911
5,Armenia,1.992
6,Australia,1.565
7,Austria,1.3
8,Azerbaijan,2.437
9,Bahrain,2.085
10,Bangladesh,2.067
11,Belarus,2.259
12,Belgium,1.526
13,Benin,2.125
14,Bhutan,1.481
15,Bolivia,1.989
16,Bosnia and Herzegovina,1.85
17,Botswana,1.801
18,Brazil,2.465
19,Bulgaria,1.541
20,Burkina Faso,2.786
21,Burundi,2.47
22,Cambodia,1.882
23,Cameroon,2.709
24,Canada,1.389
25,Central African Republic,3.021
26,Chad,2.591
27,Chile,1.84
28,China,2.01
29,Colombia,2.729
30,Costa Rica,1.732
31,Cote d' Ivoire,2.144
32,Croatia,1.44
33,Cuba,2.083
34,Cyprus,1.903
35,Czech Republic,1.318
36,Democratic Republic of the Congo,3.166
37,Denmark,1.296
38,Djibouti,2.213
39,Dominican Republic,1.99
40,Ecuador,1.988
41,Egypt,2.342
42,El Salvador,2.231
43,Equatorial Guinea,1.863
44,Eritrea,2.494
45,Estonia,1.662
46,Eswatini,2.033
47,Ethiopia,2.806
48,Finland,1.439
49,France,1.895
50,Gabon,1.973
51,Georgia,2.065
52,Germany,1.462
53,Ghana,1.759
54,Greece,1.838
55,Guatemala,2.139
56,Guinea,2.332
57,Guinea-Bissau,2.156
58,Guyana,2.14
59,Haiti,2.254
60,Honduras,2.269
61,Hungary,1.411
62,Iceland,1.107
63,India,2.578
64,Indonesia,1.8
65,Iran,2.687
66,Iraq,3.157
67,Ireland,1.288
68,Israel,2.576
69,Italy,1.643
70,Jamaica,1.99
71,Japan,1.336
72,Jordan,1.849
73,Kazakhstan,2.071
74,Kenya,2.303
75,Kosovo,1.938
76,Kuwait,1.739
77,Kyrgyz Republic,2.028
78,Laos,1.809
79,Latvia,1.673
80,Lebanon,2.615
81,Lesotho,2.089
82,Liberia,1.973
83,Libya,2.93
84,Lithuania,1.724
85,Madagascar,1.995
86,Malawi,1.895
87,Malaysia,1.471
88,Mali,2.911
89,Mauritania,2.193
90,Mauritius,1.57
91,Mexico,2.612
92,Moldova,1.882
93,Mongolia,1.775
94,Montenegro,1.801
95,Morocco,1.969
96,Mozambique,2.316
97,Myanmar,2.631
98,Namibia,1.908
99,Nepal,1.947
100,Netherlands,1.522
101,New Zealand,1.269
102,Nicaragua,2.334
103,Niger,2.655
104,Nigeria,2.725
105,North Korea,2.942
106,North Macedonia,1.704
107,Norway,1.465
108,Oman,1.889
109,Pakistan,2.789
110,Palestine,2.552
111,Panama,1.876
112,Papua New Guinea,2.046
113,Paraguay,1.976
114,Peru,2.091
115,Philippines,2.339
116,Poland,1.552
117,Portugal,1.301
118,Qatar,1.533
119,Republic of the Congo,2.184
120,Romania,1.64
121,Russia,3.275
122,Rwanda,1.945
123,Saudi Arabia,2.288
124,Senegal,1.916
125,Serbia,1.832
126,Sierra Leone,1.803
127,Singapore,1.326
128,Slovakia,1.499
129,Slovenia,1.316
130,Somalia,3.125
131,South Africa,2.283
132,South Korea,1.779
133,South Sudan,3.184
134,Spain,1.603
135,Sri Lanka,2.02
136,Sudan,3.007
137,Sweden,1.564
138,Switzerland,1.357
139,Syria,3.356
140,Taiwan,1.618
141,Tajikistan,2.031
142,Tanzania,2.001
143,Thailand,2.098
144,The Gambia,1.792
145,Timor-Leste,1.839
146,Togo,2.094
147,Trinidad and Tobago,2.005
148,Tunisia,1.996
149,Turkey,2.785
150,Turkmenistan,2.116
151,Uganda,2.309
152,Ukraine,2.971
153,United Arab Emirates,1.865
154,United Kingdom,1.667
155,United States of America,2.44
156,Uruguay,1.795
157,Uzbekistan,2.001
158,Venezuela,2.798
159,Vietnam,1.786
160,Yemen,3.394
161,Zambia,1.841
162,Zimbabwe,2.35
