id,iso,country_name,region,epi_current,hlt_current,eco_current,bdh_current,pcc_current, population_current , tourism_current ,safety_current,rural_eco_rating,urban_eco_rating,tourist_density
4,AFG,Afghanistan,Southern Asia,43.6,16,36.9,30.7,65.6," 40,099,462 "," 25,000 ",3.554,46.37,32.37,1603.98
8,ALB,Albania,Eastern Europe,47.1,40,45.5,63.9,52.5," 2,811,666 "," 5,340,000 ",1.761,47.81,44.13,0.53
12,DZA,Algeria,Greater Middle East,29.6,42,31.6,22.7,20.9," 44,177,969 "," 2,657,000 ",2.146,28.07,35.04,16.63
24,AGO,Angola,Sub-Saharan Africa,30.5,20.5,28.6,30.1,37.7," 34,503,774 "," 218,000 ",1.982,31.60,26.18,158.27
28,ATG,Antigua and Barbuda,Latin America & Caribbean,52.4,55.8,43.6,54.2,60.2," 93,219 "," 269,000 ",1.8,49.08,57.25,0.35
32,ARG,Argentina,Latin America & Caribbean,41.1,56.3,38.9,42.4,35.5," 45,808,747 "," 6,942,000 ",1.911,37.78,49.44,6.60
51,ARM,Armenia,Former Soviet States,48.3,40.7,58.1,73.3,41.4," 2,790,974 "," 1,652,000 ",1.992,52.59,40.93,1.69
36,AUS,Australia,Global West,60.1,86.4,62.3,82.1,43.8," 25,688,079 "," 9,246,000 ",1.565,56.20,72.34,2.78
40,AUT,Austria,Global West,66.5,81.7,73.9,86,50.3," 8,955,797 "," 30,816,000 ",1.3,66.11,71.34,0.29
31,AZE,Azerbaijan,Former Soviet States,38.6,30.7,44.4,46.2,36.4," 10,137,750 "," 2,633,000 ",2.437,41.76,32.58,3.85
44,BHS,Bahamas,Latin America & Caribbean,56.2,54,52.1,80.4,61.8," 407,906 "," 7,250,000 ",1.98,55.30,56.57,0.06
48,BHR,Bahrain,Greater Middle East,42,45.3,42.3,15.3,39.9," 1,463,265 "," 12,045,000 ",2.085,41.51,43.52,0.12
50,BGD,Bangladesh,Southern Asia,23.1,18.1,29.4,37.4,18.8," 169,356,251 "," 323,000 ",2.067,25.90,18.33,524.32
52,BRB,Barbados,Latin America & Caribbean,53.2,61.8,24.9,13.6,79.9," 281,200 "," 680,000 ",1.7,43.05,67.77,0.41
112,BLR,Belarus,Former Soviet States,48.5,51.1,55.4,66.9,39.6," 9,340,314 "," 11,501,600 ",2.259,50.19,47.31,0.81
56,BEL,Belgium,Global West,58.2,77.9,57.9,82.4,48.1," 11,592,952 "," 9,119,000 ",1.526,54.67,68.07,1.27
84,BLZ,Belize,Latin America & Caribbean,50,39,57.8,91.9,47.1," 400,031 "," 489,000 ",2.15,54.27,41.67,0.82
204,BEN,Benin,Sub-Saharan Africa,29.6,22.2,36.2,63.6,26.2," 12,996,895 "," 295,000 ",2.125,32.90,23.52,44.06
64,BTN,Bhutan,Southern Asia,42.5,27.2,54.9,79.6,36.8," 777,486 "," 274,000 ",1.481,48.93,30.37,2.84
68,BOL,Bolivia,Latin America & Caribbean,40.1,35.8,52.9,82.6,28.3," 12,079,472 "," 1,142,000 ",1.989,44.78,33.33,10.58
70,BIH,Bosnia and Herzegovina,Eastern Europe,39.4,38,34.8,34.1,45.1," 3,270,943 "," 1,053,000 ",1.85,38.20,40.34,3.11
72,BWA,Botswana,Sub-Saharan Africa,54,21.3,61.4,89.3,63.1," 2,588,423 "," 1,830,000 ",1.801,61.96,35.09,1.41
76,BRA,Brazil,Latin America & Caribbean,43.6,46,55.2,78.2,29.6," 214,326,223 "," 6,621,000 ",2.465,46.75,40.59,32.37
96,BRN,Brunei Darussalam,Asia-Pacific,45.7,68.1,38.6,58.5,41.7," 445,373 "," 278,000 ",1.85,39.62,59.39,1.60
100,BGR,Bulgaria,Eastern Europe,51.9,43.2,58,75.1,49.8," 6,877,743 "," 9,273,000 ",1.541,55.29,45.38,0.74
854,BFA,Burkina Faso,Sub-Saharan Africa,35.5,20.9,49.6,78.5,27.6," 22,100,683 "," 144,000 ",2.786,42.34,23.11,153.48
108,BDI,Burundi,Sub-Saharan Africa,30.5,22,35.5,42.3,29.4," 12,551,213 "," 290,000 ",2.47,33.49,24.44,43.28
132,CPV,Cabo Verde,Sub-Saharan Africa,41.9,32.6,37.9,12.1,51.4," 587,925 "," 710,000 ",1.79,42.36,38.80,0.83
116,KHM,Cambodia,Asia-Pacific,30.1,27.6,37.5,65.8,23.3," 16,589,023 "," 6,201,000 ",1.882,32.81,26.18,2.68
120,CMR,Cameroon,Sub-Saharan Africa,30.2,14.3,33,42,35.4," 27,198,628 "," 1,021,000 ",2.709,33.79,21.26,26.64
124,CAN,Canada,Global West,50,85.9,52.5,62.9,28.2," 38,246,108 "," 21,134,000 ",1.389,44.48,66.86,1.81
140,CAF,Central African Republic,Sub-Saharan Africa,44.9,13.1,55.9,80.2,49.5," 5,457,154 "," 87,000 ",3.021,53.79,25.11,62.73
148,TCD,Chad,Sub-Saharan Africa,28.1,16.7,42.3,62.4,18.5," 17,179,740 "," 81,000 ",2.591,34.45,17.29,212.10
152,CHL,Chile,Latin America & Caribbean,46.7,58,51.2,61.3,35.8," 19,493,184 "," 5,723,000 ",1.84,46.12,50.67,3.41
156,CHN,China,Asia-Pacific,28.4,32.8,24.5,9.4,30.4," 1,412,360,000 "," 62,900,000 ",2.01,26.45,32.01,22.45
170,COL,Colombia,Latin America & Caribbean,42.4,50.3,49.6,77.4,30.2," 51,516,562 "," 3,904,000 ",2.729,43.20,43.67,13.20
174,COM,Comoros,Sub-Saharan Africa,42.5,31.1,49.1,53.9,41.2," 821,625 "," 35,900 ",1.82,46.49,34.43,22.89
188,CRI,Costa Rica,Latin America & Caribbean,46.3,55.4,46.4,68.5,41.5," 5,153,957 "," 3,017,000 ",1.732,44.78,50.81,1.71
384,CIV,Cote d'Ivoire,Sub-Saharan Africa,32.8,19.8,46,58.2,25.1," 27,478,249 "," 1,965,000 ",2.73,39.10,21.55,13.98
191,HRV,Croatia,Eastern Europe,60.2,55.7,65.6,81.5,56.6," 3,899,000 "," 16,645,000 ",1.44,62.63,56.00,0.23
192,CUB,Cuba,Latin America & Caribbean,47.5,47.9,35.1,46.1,61.1," 11,256,372 "," 4,684,000 ",2.083,43.68,52.26,2.40
196,CYP,Cyprus,Eastern Europe,58,73.8,54.2,78.3,53.8," 1,244,188 "," 3,939,000 ",1.903,54.07,67.20,0.32
203,CZE,Czech Republic,Eastern Europe,59.9,63.5,64.5,83.3,52.8," 10,510,000 "," 10,611,000 ",1.318,60.64,59.97,0.99
180,COD,Dem. Rep. Congo,Sub-Saharan Africa,36.9,21.1,46.1,68.6,35.1," 95,890,000 "," 351,000 ",2.93,42.47,25.72,273.19
