,Country Name,Country Code,Indicator Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Aruba,ABW,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
1,Africa Eastern and Southern,AFE,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
2,Afghanistan,AFG,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
3,Africa Western and Central,AFW,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
4,Angola,AGO,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
5,Albania,ALB,"Railways, passengers carried (million passenger-km)",18.0,16.0,12.0,7.714,6.99,3.2,2.4,2.7,,,
6,Andorra,AND,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
7,Arab World,ARB,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
8,United Arab Emirates,ARE,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
9,Argentina,ARG,"Railways, passengers carried (million passenger-km)",7287.93339,6002.517793,5035.001823,5733.577016,6883.565231,8065.368464,8360.782022,,,,
10,Armenia,ARM,"Railways, passengers carried (million passenger-km)",49.0,53.0,55.0,52.0,44.0,50.0,55.0,,,,
11,American Samoa,ASM,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
12,Antigua and Barbuda,ATG,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
13,Australia,AUS,"Railways, passengers carried (million passenger-km)",15275.79363,15568.96388,15543.66784,15571.08331,16016.86065,16503.75857,17039.19373,17585.94717,,,
14,Austria,AUT,"Railways, passengers carried (million passenger-km)",10875.0,11323.0,11915.0,12092.0,12208.0,12578.0,12656.7,13204.7,,,
15,Azerbaijan,AZE,"Railways, passengers carried (million passenger-km)",660.0,591.0,609.0,612.0,495.0,448.0,467.0,466.0,,,
16,Burundi,BDI,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
17,Belgium,BEL,"Railways, passengers carried (million passenger-km)",11003.0,,10595.0,10974.0,10333.0,10025.0,10167.0,,,,
18,Benin,BEN,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
19,Burkina Faso,BFA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
20,Bangladesh,BGD,"Railways, passengers carried (million passenger-km)",8052.0,8787.0,8253.0,8135.0,8711.0,10040.0,,,,,
21,Bulgaria,BGR,"Railways, passengers carried (million passenger-km)",2068.0,1876.0,1826.0,1702.0,1552.0,1458.0,1438.0,1479.0,,,
22,Bahrain,BHR,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
23,"Bahamas, The",BHS,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
24,Bosnia and Herzegovina,BIH,"Railways, passengers carried (million passenger-km)",100.0,54.0,40.0,35.0,34.0,24.0,30.0,,,,
25,Belarus,BLR,"Railways, passengers carried (million passenger-km)",7941.0,8977.0,8998.0,7796.0,7117.0,6428.0,6295.0,6215.0,,,
26,Belize,BLZ,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
27,Bermuda,BMU,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
28,Bolivia,BOL,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
29,Brazil,BRA,"Railways, passengers carried (million passenger-km)",,,15191.0,15901.0,15877.0,15648.0,15807.0,,,,
30,Barbados,BRB,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
31,Brunei Darussalam,BRN,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
32,Bhutan,BTN,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
33,Botswana,BWA,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
34,Central African Republic,CAF,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
35,Canada,CAN,"Railways, passengers carried (million passenger-km)",1404.0,1376.0,1365.0,1327.0,1349.0,1408.0,1527.0,1598.0,,,
36,Central Europe and the Baltics,CEB,"Railways, passengers carried (million passenger-km)",2068.0,1876.0,1826.0,1702.0,1552.0,1458.0,1438.0,2697.0,,,
37,Switzerland,CHE,"Railways, passengers carried (million passenger-km)",19471.0,19262.0,19447.0,20010.0,20389.0,20812.0,20864.5,,,,
38,Channel Islands,CHI,"Railways, passengers carried (million passenger-km)",,,,,,,,,,,
