,Country Name,Country Code,Indicator Name,2018
9,Argentina,ARG,Rail lines (total route-km),17866.0
14,Austria,AUT,Rail lines (total route-km),4864.0
15,Azerbaijan,AZE,Rail lines (total route-km),2133.07
17,Belgium,BEL,Rail lines (total route-km),3607.0
19,Burkina Faso,BFA,Rail lines (total route-km),518.0
21,Bulgaria,BGR,Rail lines (total route-km),4030.0
24,Bosnia and Herzegovina,BIH,Rail lines (total route-km),1018.054
25,Belarus,BLR,Rail lines (total route-km),5459.0
35,Canada,CAN,Rail lines (total route-km),47687.4
37,Switzerland,CHE,Rail lines (total route-km),4046.846
40,China,CHN,Rail lines (total route-km),67515.0
41,Cote d'Ivoire,CIV,Rail lines (total route-km),639.0
42,Cameroon,CMR,Rail lines (total route-km),1004.0
43,"Congo, Dem. Rep.",COD,Rail lines (total route-km),3641.0
54,Czech Republic,CZE,Rail lines (total route-km),9406.0
55,Germany,DEU,Rail lines (total route-km),33440.0
60,Algeria,DZA,Rail lines (total route-km),4016.25
70,Spain,ESP,Rail lines (total route-km),15618.0
72,Ethiopia,ETH,Rail lines (total route-km),754.0
75,Finland,FIN,Rail lines (total route-km),5926.0
77,France,FRA,Rail lines (total route-km),28241.0
80,Gabon,GAB,Rail lines (total route-km),810.0
81,United Kingdom,GBR,Rail lines (total route-km),16295.0
82,Georgia,GEO,Rail lines (total route-km),1285.0
89,Greece,GRC,Rail lines (total route-km),2293.0
99,Croatia,HRV,Rail lines (total route-km),2605.0
101,Hungary,HUN,Rail lines (total route-km),7587.7
106,Indonesia,IDN,Rail lines (total route-km),6062.0
109,India,IND,Rail lines (total route-km),68443.0
112,"Iran, Islamic Rep.",IRN,Rail lines (total route-km),9146.0
115,Israel,ISR,Rail lines (total route-km),1521.0
116,Italy,ITA,Rail lines (total route-km),16780.8
118,Jordan,JOR,Rail lines (total route-km),1596.0
119,Japan,JPN,Rail lines (total route-km),19122.5
120,Kazakhstan,KAZ,Rail lines (total route-km),16060.8
122,Kyrgyz Republic,KGZ,Rail lines (total route-km),424.0
126,"Korea, Rep.",KOR,Rail lines (total route-km),4200.0
143,Lithuania,LTU,Rail lines (total route-km),1911.0
144,Luxembourg,LUX,Rail lines (total route-km),288.0
145,Latvia,LVA,Rail lines (total route-km),1859.6
148,Morocco,MAR,Rail lines (total route-km),2295.0
150,Moldova,MDA,Rail lines (total route-km),1151.0
154,Mexico,MEX,Rail lines (total route-km),14388.0
157,North Macedonia,MKD,Rail lines (total route-km),683.0
162,Montenegro,MNE,Rail lines (total route-km),249.0
166,Mauritania,MRT,Rail lines (total route-km),728.0
169,Malaysia,MYS,Rail lines (total route-km),2783.0
176,Netherlands,NLD,Rail lines (total route-km),3200.0
177,Norway,NOR,Rail lines (total route-km),4200.0
184,Pakistan,PAK,Rail lines (total route-km),7791.0
190,Poland,POL,Rail lines (total route-km),18536.0
194,Portugal,PRT,Rail lines (total route-km),2545.96
201,Romania,ROU,Rail lines (total route-km),10765.0
202,Russian Federation,RUS,Rail lines (total route-km),85626.0
205,Saudi Arabia,SAU,Rail lines (total route-km),2939.0
214,Serbia,SRB,Rail lines (total route-km),3724.468
221,Slovak Republic,SVK,Rail lines (total route-km),3626.611
222,Slovenia,SVN,Rail lines (total route-km),1209.0
223,Sweden,SWE,Rail lines (total route-km),9708.0
234,Tajikistan,TJK,Rail lines (total route-km),620.0
235,Turkmenistan,TKM,Rail lines (total route-km),7680.0
243,Tunisia,TUN,Rail lines (total route-km),1777.0
244,Turkiye,TUR,Rail lines (total route-km),10315.0
248,Ukraine,UKR,Rail lines (total route-km),21626.0
251,United States,USA,Rail lines (total route-km),150462.2976
252,Uzbekistan,UZB,Rail lines (total route-km),4642.0
257,Vietnam,VNM,Rail lines (total route-km),2382.0
264,Zambia,ZMB,Rail lines (total route-km),1248.0
