,Country Name,Country Code,Indicator Name,2018
75,France,FRA,"International tourism, number of arrivals",89322000.0
68,Spain,ESP,"International tourism, number of arrivals",82773000.0
249,United States,USA,"International tourism, number of arrivals",79745920.0
38,China,CHN,"International tourism, number of arrivals",62900000.0
114,Italy,ITA,"International tourism, number of arrivals",61567200.0
242,Turkey,TUR,"International tourism, number of arrivals",45768000.0
152,Mexico,MEX,"International tourism, number of arrivals",41313000.0
53,Germany,DEU,"International tourism, number of arrivals",38881000.0
231,Thailand,THA,"International tourism, number of arrivals",38178000.0
79,United Kingdom,GBR,"International tourism, number of arrivals",36316000.0
117,Japan,JPN,"International tourism, number of arrivals",31192000.0
12,Austria,AUT,"International tourism, number of arrivals",30816000.0
87,Greece,GRC,"International tourism, number of arrivals",30123000.0
94,"Hong Kong SAR, China",HKG,"International tourism, number of arrivals",29263000.0
167,Malaysia,MYS,"International tourism, number of arrivals",25832000.0
200,Russian Federation,RUS,"International tourism, number of arrivals",24551000.0
6,United Arab Emirates,ARE,"International tourism, number of arrivals",21286000.0
33,Canada,CAN,"International tourism, number of arrivals",21134000.0
188,Poland,POL,"International tourism, number of arrivals",19622000.0
174,Netherlands,NLD,"International tourism, number of arrivals",18780000.0
144,"Macao SAR, China",MAC,"International tourism, number of arrivals",18493000.0
99,Hungary,HUN,"International tourism, number of arrivals",17552000.0
107,India,IND,"International tourism, number of arrivals",17423000.0
97,Croatia,HRV,"International tourism, number of arrivals",16645000.0
192,Portugal,PRT,"International tourism, number of arrivals",16186000.0
104,Indonesia,IDN,"International tourism, number of arrivals",15810000.0
255,Vietnam,VNM,"International tourism, number of arrivals",15498000.0
124,"Korea, Rep.",KOR,"International tourism, number of arrivals",15347000.0
203,Saudi Arabia,SAU,"International tourism, number of arrivals",15334000.0
206,Singapore,SGP,"International tourism, number of arrivals",14673000.0
246,Ukraine,UKR,"International tourism, number of arrivals",14104000.0
56,Denmark,DNK,"International tourism, number of arrivals",12749000.0
146,Morocco,MAR,"International tourism, number of arrivals",12289000.0
20,Bahrain,BHR,"International tourism, number of arrivals",12045000.0
199,Romania,ROU,"International tourism, number of arrivals",11720000.0
23,Belarus,BLR,"International tourism, number of arrivals",11501600.0
65,"Egypt, Arab Rep.",EGY,"International tourism, number of arrivals",11196000.0
109,Ireland,IRL,"International tourism, number of arrivals",10926000.0
52,Czech Republic,CZE,"International tourism, number of arrivals",10611000.0
261,South Africa,ZAF,"International tourism, number of arrivals",10472000.0
35,Switzerland,CHE,"International tourism, number of arrivals",10362000.0
19,Bulgaria,BGR,"International tourism, number of arrivals",9273000.0
11,Australia,AUS,"International tourism, number of arrivals",9246000.0
15,Belgium,BEL,"International tourism, number of arrivals",9119000.0
118,Kazakhstan,KAZ,"International tourism, number of arrivals",8789000.0
125,Kuwait,KWT,"International tourism, number of arrivals",8508000.0
241,Tunisia,TUN,"International tourism, number of arrivals",8299000.0
221,Sweden,SWE,"International tourism, number of arrivals",7440000.0
