,Country Code,Country Name,Indicator Name,2018
0,ABW,Aruba,"International tourism, expenditures (current US$)",358000000.0
1,AFG,Afghanistan,"International tourism, expenditures (current US$)",226000000.0
2,AGO,Angola,"International tourism, expenditures (current US$)",762000000.0
3,ALB,Albania,"International tourism, expenditures (current US$)",1750000000.0
4,ARB,Arab World,"International tourism, expenditures (current US$)",95604213053.0607
5,ARE,United Arab Emirates,"International tourism, expenditures (current US$)",17999000000.0
6,ARG,Argentina,"International tourism, expenditures (current US$)",13092000000.0
7,ARM,Armenia,"International tourism, expenditures (current US$)",1458000000.0
8,ATG,Antigua and Barbuda,"International tourism, expenditures (current US$)",113000000.0
9,AUS,Australia,"International tourism, expenditures (current US$)",42351000000.0
10,AUT,Austria,"International tourism, expenditures (current US$)",14256000000.0
11,AZE,Azerbaijan,"International tourism, expenditures (current US$)",2453000000.0
12,BDI,Burundi,"International tourism, expenditures (current US$)",23000000.0
13,BEL,Belgium,"International tourism, expenditures (current US$)",20830000000.0
14,BGD,Bangladesh,"International tourism, expenditures (current US$)",1208000000.0
15,BGR,Bulgaria,"International tourism, expenditures (current US$)",2247000000.0
16,BHR,Bahrain,"International tourism, expenditures (current US$)",4023000000.0
17,BHS,"Bahamas, The","International tourism, expenditures (current US$)",536000000.0
18,BIH,Bosnia and Herzegovina,"International tourism, expenditures (current US$)",366000000.0
19,BLR,Belarus,"International tourism, expenditures (current US$)",1159000000.0
20,BLZ,Belize,"International tourism, expenditures (current US$)",50000000.0
21,BMU,Bermuda,"International tourism, expenditures (current US$)",340000000.0
22,BOL,Bolivia,"International tourism, expenditures (current US$)",1081000000.0
23,BRA,Brazil,"International tourism, expenditures (current US$)",22229000000.0
24,BRN,Brunei Darussalam,"International tourism, expenditures (current US$)",585000000.0
25,BTN,Bhutan,"International tourism, expenditures (current US$)",79000000.0
26,BWA,Botswana,"International tourism, expenditures (current US$)",269200000.0
27,CAN,Canada,"International tourism, expenditures (current US$)",33581000000.0
28,CEB,Central Europe and the Baltics,"International tourism, expenditures (current US$)",37236000000.0
29,CHE,Switzerland,"International tourism, expenditures (current US$)",20722000000.0
30,CHL,Chile,"International tourism, expenditures (current US$)",3086000000.0
31,CHN,China,"International tourism, expenditures (current US$)",277345000000.0
32,CMR,Cameroon,"International tourism, expenditures (current US$)",915000000.0
33,COD,"Congo, Dem. Rep.","International tourism, expenditures (current US$)",115000000.0
34,COL,Colombia,"International tourism, expenditures (current US$)",5625000000.0
35,COM,Comoros,"International tourism, expenditures (current US$)",45000000.0
36,CPV,Cabo Verde,"International tourism, expenditures (current US$)",97000000.0
37,CRI,Costa Rica,"International tourism, expenditures (current US$)",1162000000.0
38,CSS,Caribbean small states,"International tourism, expenditures (current US$)",1915261472.78549
39,CUW,Curacao,"International tourism, expenditures (current US$)",535000000.0
40,CYP,Cyprus,"International tourism, expenditures (current US$)",1551000000.0
41,CZE,Czech Republic,"International tourism, expenditures (current US$)",6074000000.0
42,DEU,Germany,"International tourism, expenditures (current US$)",104204000000.0
43,DJI,Djibouti,"International tourism, expenditures (current US$)",22300000.0
44,DMA,Dominica,"International tourism, expenditures (current US$)",30000000.0
45,DNK,Denmark,"International tourism, expenditures (current US$)",10485000000.0
46,DOM,Dominican Republic,"International tourism, expenditures (current US$)",957000000.0
47,EAP,East Asia & Pacific (excluding high income),"International tourism, expenditures (current US$)",339578269473.025
48,EAR,Early-demographic dividend,"International tourism, expenditures (current US$)",169350265824.274
49,EAS,East Asia & Pacific,"International tourism, expenditures (current US$)",525418111124.554
50,ECA,Europe & Central Asia (excluding high income),"International tourism, expenditures (current US$)",70621947384.6201
51,ECS,Europe & Central Asia,"International tourism, expenditures (current US$)",562370840088.806
52,ECU,Ecuador,"International tourism, expenditures (current US$)",1043000000.0
53,EGY,"Egypt, Arab Rep.","International tourism, expenditures (current US$)",2897000000.0
54,EMU,Euro area,"International tourism, expenditures (current US$)",326134000000.0
55,ESP,Spain,"International tourism, expenditures (current US$)",26670000000.0
56,EST,Estonia,"International tourism, expenditures (current US$)",1651000000.0
57,ETH,Ethiopia,"International tourism, expenditures (current US$)",612700000.0
58,EUU,European Union,"International tourism, expenditures (current US$)",383709000000.0
59,FCS,Fragile and conflict affected situations,"International tourism, expenditures (current US$)",42444044025.4257
60,FIN,Finland,"International tourism, expenditures (current US$)",7268000000.0
61,FJI,Fiji,"International tourism, expenditures (current US$)",160000000.0
62,FRA,France,"International tourism, expenditures (current US$)",57925000000.0
63,GBR,United Kingdom,"International tourism, expenditures (current US$)",68888000000.0
64,GEO,Georgia,"International tourism, expenditures (current US$)",960000000.0
65,GHA,Ghana,"International tourism, expenditures (current US$)",1329000000.0
66,GIN,Guinea,"International tourism, expenditures (current US$)",416000000.0
67,GMB,"Gambia, The","International tourism, expenditures (current US$)",10400000.0
68,GNB,Guinea-Bissau,"International tourism, expenditures (current US$)",74600000.0
69,GRC,Greece,"International tourism, expenditures (current US$)",3910000000.0
70,GRD,Grenada,"International tourism, expenditures (current US$)",41000000.0
71,GTM,Guatemala,"International tourism, expenditures (current US$)",1121000000.0
72,GUY,Guyana,"International tourism, expenditures (current US$)",80000000.0
73,HIC,High income,"International tourism, expenditures (current US$)",987624110567.911
74,HKG,"Hong Kong SAR, China","International tourism, expenditures (current US$)",26498000000.0
75,HND,Honduras,"International tourism, expenditures (current US$)",519000000.0
76,HPC,Heavily indebted poor countries (HIPC),"International tourism, expenditures (current US$)",11676380901.4849
77,HRV,Croatia,"International tourism, expenditures (current US$)",1737000000.0
78,HTI,Haiti,"International tourism, expenditures (current US$)",599000000.0
79,HUN,Hungary,"International tourism, expenditures (current US$)",3280000000.0
80,IBD,IBRD only,"International tourism, expenditures (current US$)",572065611367.634
81,IBT,IDA & IBRD total,"International tourism, expenditures (current US$)",611013454074.694
82,IDA,IDA total,"International tourism, expenditures (current US$)",38015880174.5656
83,IDB,IDA blend,"International tourism, expenditures (current US$)",20196253711.4194
84,IDN,Indonesia,"International tourism, expenditures (current US$)",11629000000.0
85,IDX,IDA only,"International tourism, expenditures (current US$)",17069244588.5745
86,IND,India,"International tourism, expenditures (current US$)",25790000000.0
87,IRL,Ireland,"International tourism, expenditures (current US$)",7390000000.0
88,IRQ,Iraq,"International tourism, expenditures (current US$)",7855000000.0
89,ISL,Iceland,"International tourism, expenditures (current US$)",1829000000.0
90,ISR,Israel,"International tourism, expenditures (current US$)",9765000000.0
91,ITA,Italy,"International tourism, expenditures (current US$)",37644000000.0
92,JAM,Jamaica,"International tourism, expenditures (current US$)",503000000.0
93,JOR,Jordan,"International tourism, expenditures (current US$)",1493000000.0
