,Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Aruba,ABW,"International tourism, number of arrivals",824000.0,869000.0,904000.0,979000.0,1072000.0,1225000.0,1102000.0,1070500.0,1082000.0,,
1,Afghanistan,AFG,"International tourism, number of arrivals",,,,,,,,,,,
2,Angola,AGO,"International tourism, number of arrivals",425000.0,481000.0,528000.0,650000.0,595000.0,592000.0,397000.0,261000.0,218000.0,,
3,Albania,ALB,"International tourism, number of arrivals",2191000.0,2469000.0,3156000.0,2857000.0,3341000.0,3784000.0,4070000.0,4643000.0,5340000.0,,
4,Andorra,AND,"International tourism, number of arrivals",1808000.0,2242000.0,2238000.0,2328000.0,2363000.0,2663000.0,2819000.0,3003000.0,3042000.0,,
5,Arab World,ARB,"International tourism, number of arrivals",90023607.249532,76660005.5294921,84844588.3008134,85114141.128268,90876674.1350811,88169233.2844442,87721747.4973295,94181175.8660824,101463695.274466,,
6,United Arab Emirates,ARE,"International tourism, number of arrivals",,,,,16232000.0,17472000.0,18967000.0,20394000.0,21286000.0,,
7,Argentina,ARG,"International tourism, number of arrivals",6800000.0,6703000.0,6497000.0,6510000.0,7165000.0,6816000.0,6668000.0,6711000.0,6942000.0,,
8,Armenia,ARM,"International tourism, number of arrivals",684000.0,758000.0,963000.0,1084000.0,1204000.0,1192000.0,1260000.0,1495000.0,1652000.0,,
9,American Samoa,ASM,"International tourism, number of arrivals",23100.0,22600.0,22600.0,20800.0,21600.0,20300.0,20100.0,20000.0,20200.0,,
10,Antigua and Barbuda,ATG,"International tourism, number of arrivals",230000.0,241000.0,247000.0,243000.0,249000.0,250000.0,265000.0,247000.0,269000.0,,
11,Australia,AUS,"International tourism, number of arrivals",5790000.0,5771000.0,6032000.0,6482000.0,6922000.0,7449000.0,8269000.0,8815000.0,9246000.0,,
12,Austria,AUT,"International tourism, number of arrivals",22004000.0,23012000.0,24151000.0,24813000.0,25291000.0,26728000.0,28121000.0,29460000.0,30816000.0,,
13,Azerbaijan,AZE,"International tourism, number of arrivals",1280000.0,1562000.0,1986000.0,2130000.0,2160000.0,1922000.0,2044000.0,2454000.0,2633000.0,,
14,Burundi,BDI,"International tourism, number of arrivals",142000.0,144000.0,147000.0,234000.0,235000.0,131000.0,187000.0,299000.0,,,
15,Belgium,BEL,"International tourism, number of arrivals",7186000.0,7494000.0,7560000.0,7684000.0,7887000.0,8355000.0,7481000.0,8385000.0,9119000.0,,
16,Benin,BEN,"International tourism, number of arrivals",199000.0,209000.0,220000.0,231000.0,242000.0,255000.0,267000.0,281000.0,295000.0,,
17,Burkina Faso,BFA,"International tourism, number of arrivals",274000.0,238000.0,237000.0,218000.0,191000.0,163000.0,152000.0,143000.0,144000.0,,
18,Bangladesh,BGD,"International tourism, number of arrivals",303000.0,155000.0,125000.0,148000.0,125000.0,643000.0,830000.0,1026000.0,,,
19,Bulgaria,BGR,"International tourism, number of arrivals",6047000.0,6328000.0,6541000.0,6898000.0,7311000.0,7099000.0,8252000.0,8883000.0,9273000.0,,
20,Bahrain,BHR,"International tourism, number of arrivals",11952000.0,6732000.0,8062000.0,9163000.0,10452000.0,9670000.0,10158000.0,11374000.0,12045000.0,,
21,"Bahamas, The",BHS,"International tourism, number of arrivals",1370000.0,1346000.0,1422000.0,1366000.0,1446000.0,1502000.0,1500000.0,1442000.0,1633000.0,,
22,Bosnia and Herzegovina,BIH,"International tourism, number of arrivals",365000.0,392000.0,439000.0,529000.0,536000.0,678000.0,778000.0,923000.0,1053000.0,,
23,Belarus,BLR,"International tourism, number of arrivals",119300.0,116000.0,6129900.0,6241800.0,5374900.0,4385600.0,10935400.0,11060200.0,11501600.0,,
24,Belize,BLZ,"International tourism, number of arrivals",242000.0,250000.0,277000.0,294000.0,321000.0,341000.0,386000.0,427000.0,489000.0,,
25,Bermuda,BMU,"International tourism, number of arrivals",232000.0,236000.0,232000.0,236000.0,224000.0,220000.0,244000.0,270000.0,282000.0,,
26,Bolivia,BOL,"International tourism, number of arrivals",679000.0,711000.0,798000.0,798000.0,871000.0,882000.0,961000.0,1109000.0,1142000.0,,
27,Brazil,BRA,"International tourism, number of arrivals",5161000.0,5433000.0,5677000.0,5813000.0,6430000.0,6306000.0,6547000.0,6589000.0,6621000.0,,
28,Barbados,BRB,"International tourism, number of arrivals",532000.0,568000.0,536000.0,509000.0,521000.0,592000.0,632000.0,664000.0,680000.0,,
29,Brunei Darussalam,BRN,"International tourism, number of arrivals",214000.0,242000.0,209000.0,225000.0,201000.0,218000.0,219000.0,259000.0,278000.0,,
30,Bhutan,BTN,"International tourism, number of arrivals",41000.0,66000.0,105000.0,116000.0,133000.0,155000.0,210000.0,255000.0,274000.0,,
31,Botswana,BWA,"International tourism, number of arrivals",1973000.0,,1614000.0,1544000.0,1966000.0,1528000.0,1574000.0,1623000.0,,,
32,Central African Republic,CAF,"International tourism, number of arrivals",53800.0,65400.0,70800.0,83500.0,95700.0,120500.0,82000.0,107000.0,,,
33,Canada,CAN,"International tourism, number of arrivals",16219000.0,16014000.0,16344000.0,16059000.0,16537000.0,17971000.0,19971000.0,20883000.0,21134000.0,,
34,Central Europe and the Baltics,CEB,"International tourism, number of arrivals",59737000.0,63968000.0,67884000.0,70972000.0,74828000.0,80663000.0,86975000.0,93474000.0,100109000.0,,
35,Switzerland,CHE,"International tourism, number of arrivals",8628000.0,8534000.0,8566000.0,8967000.0,9158000.0,9305000.0,9205000.0,9889000.0,10362000.0,,
36,Channel Islands,CHI,"International tourism, number of arrivals",,,,,,,,,,,
37,Chile,CHL,"International tourism, number of arrivals",2801000.0,3137000.0,3554000.0,3576000.0,3674000.0,4478000.0,5641000.0,6450000.0,5723000.0,,
