,Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Aruba,ABW,"International tourism, number of departures",,,,,,,,,,,
1,Afghanistan,AFG,"International tourism, number of departures",,,,,,,,,,,
2,Angola,AGO,"International tourism, number of departures",,,,,,,,,,,
3,Albania,ALB,"International tourism, number of departures",3443000.0,4120000.0,3959000.0,3928000.0,4146000.0,4504000.0,4852000.0,5186000.0,5415000.0,,
4,Andorra,AND,"International tourism, number of departures",,,,,,,,,,,
5,Arab World,ARB,"International tourism, number of departures",,,,,,,,,,,
6,United Arab Emirates,ARE,"International tourism, number of departures",,,,,,,,,18904000.0,,
7,Argentina,ARG,"International tourism, number of departures",5307000.0,6686000.0,7266000.0,6746000.0,6517000.0,7807000.0,10417000.0,12213000.0,11130000.0,,
8,Armenia,ARM,"International tourism, number of departures",563000.0,715000.0,965000.0,1083000.0,1198000.0,1187000.0,1263000.0,1482000.0,1623000.0,,
9,American Samoa,ASM,"International tourism, number of departures",,,,,,,,,,,
10,Antigua and Barbuda,ATG,"International tourism, number of departures",,,,,,,,,,,
11,Australia,AUS,"International tourism, number of departures",7103000.0,7788000.0,8212000.0,9052000.0,9480000.0,9810000.0,10390000.0,10932000.0,11403000.0,,
12,Austria,AUT,"International tourism, number of departures",9882000.0,9874000.0,10960000.0,10671000.0,10994000.0,10628000.0,11534000.0,11491000.0,11883000.0,,
13,Azerbaijan,AZE,"International tourism, number of departures",1820000.0,2308000.0,2829000.0,3307000.0,3319000.0,3256000.0,3592000.0,3447000.0,3919000.0,,
14,Burundi,BDI,"International tourism, number of departures",,,,,,,,,,,
15,Belgium,BEL,"International tourism, number of departures",8801000.0,9727000.0,9576000.0,10803000.0,10991000.0,10835000.0,13372000.0,12142000.0,13098000.0,,
16,Benin,BEN,"International tourism, number of departures",,,,,,,,,,,
17,Burkina Faso,BFA,"International tourism, number of departures",,,,,,,,,,,
18,Bangladesh,BGD,"International tourism, number of departures",1913000.0,2127000.0,2273000.0,1460000.0,,,,,,,
19,Bulgaria,BGR,"International tourism, number of departures",3676000.0,3803000.0,3758000.0,3930000.0,4158000.0,4632000.0,5392000.0,6228000.0,6699000.0,,
20,Bahrain,BHR,"International tourism, number of departures",,,,,,4741000.0,,3136000.0,2868000.0,,
21,"Bahamas, The",BHS,"International tourism, number of departures",,,,,,,,,,,
22,Bosnia and Herzegovina,BIH,"International tourism, number of departures",,,,,,,,,,,
23,Belarus,BLR,"International tourism, number of departures",415000.0,320000.0,493000.0,708000.0,741000.0,671000.0,467000.0,706000.0,836000.0,,
24,Belize,BLZ,"International tourism, number of departures",,,,,,,,,,,
25,Bermuda,BMU,"International tourism, number of departures",,,,,,,,,,,
26,Bolivia,BOL,"International tourism, number of departures",604000.0,775000.0,788000.0,837000.0,932000.0,965000.0,940000.0,997000.0,1060000.0,,
27,Brazil,BRA,"International tourism, number of departures",6457000.0,7807000.0,8497000.0,8866000.0,9617000.0,9478000.0,8872000.0,10610000.0,10628000.0,,
28,Barbados,BRB,"International tourism, number of departures",,,,,,,,,,,
29,Brunei Darussalam,BRN,"International tourism, number of departures",,,,,,,,,,,
30,Bhutan,BTN,"International tourism, number of departures",,,,,,,,,,,
31,Botswana,BWA,"International tourism, number of departures",,,,,,,,,,,
32,Central African Republic,CAF,"International tourism, number of departures",38000.0,,,,,,,,,,
33,Canada,CAN,"International tourism, number of departures",28680000.0,30450000.0,32276000.0,32971000.0,33518000.0,32267000.0,31278000.0,33060000.0,26033000.0,,
34,Central Europe and the Baltics,CEB,"International tourism, number of departures",47106000.0,44650000.0,46603000.0,47881000.0,50383000.0,53462000.0,58043000.0,65877000.0,71717080.4586579,,
35,Switzerland,CHE,"International tourism, number of departures",10011000.0,10466000.0,12098000.0,12403000.0,12518000.0,13601000.0,13857000.0,15318000.0,15285000.0,,
36,Channel Islands,CHI,"International tourism, number of departures",,,,,,,,,,,
37,Chile,CHL,"International tourism, number of departures",2218700.0,2637600.0,2837100.0,2999000.0,3169000.0,3359000.0,3553000.0,3620000.0,3825000.0,,
38,China,CHN,"International tourism, number of departures",57386000.0,70250000.0,83182000.0,98185000.0,116593000.0,127860000.0,135130000.0,143035000.0,149720000.0,,
39,Cote d'Ivoire,CIV,"International tourism, number of departures",,,,,,,,,,,
40,Cameroon,CMR,"International tourism, number of departures",,,,,,,,,,,
41,"Congo, Dem. Rep.",COD,"International tourism, number of departures",,,,,,356000.0,424000.0,,,,
42,"Congo, Rep.",COG,"International tourism, number of departures",,,161000.0,180000.0,,,,,,,
43,Colombia,COL,"International tourism, number of departures",2342000.0,2522000.0,3169000.0,3605000.0,3911000.0,3862000.0,3795000.0,4017000.0,4368000.0,,
44,Comoros,COM,"International tourism, number of departures",,,,,,,,,,,
45,Cabo Verde,CPV,"International tourism, number of departures",,,,,,,,,,,
46,Costa Rica,CRI,"International tourism, number of departures",662000.0,717000.0,773000.0,790000.0,798000.0,919000.0,1036000.0,1150000.0,1079000.0,,
47,Caribbean small states,CSS,"International tourism, number of departures",,,,,,,,,,,
48,Cuba,CUB,"International tourism, number of departures",251000.0,253000.0,213000.0,286000.0,355000.0,580000.0,894000.0,,,,
49,Curacao,CUW,"International tourism, number of departures",,,,,,,,,,,
50,Cayman Islands,CYM,"International tourism, number of departures",,,,,,,,,,,
